id,agency,use_case_name,development_stage,template_id,rationale,status,P,O,W_ind,W_opt,W_nar,H,archived_status,status_reconciled,component_conflict_fields
DHS-86,DHS,Agriculture Commodity Model (AGC),Deployed,T-61fb7c4ffc61,"The AI outputs do not produce an action or serve as a principal basis for a decision that has the potential to significantly impact the safety of human-life or well-being, climate or environment, critical infrastructure, or strategic assets or resources. The use case identifies agricultural pest risk in cargo shipments entering the United States. If a cargo shipment is identified as high-risk for pest infestation, it is prioritized for inspection. The model does not track or identify individuals.",U,YES,YES,NO,NO,NO,NO,U,0,
DHS-95,DHS,Trade Entity Risk Model,Deployed,T-1b5a55fb5f11,"The Trade Entity Risk model/tool enhances cargo predictive threat models by providing a comprehensive risk profile that aggregates historical trade entity transactions, trading partner relationships, reviews, examinations, and violations (within CBP data holdings) to create quantifiable risk measures for all trade entities. The AI model serves as an input to larger AI/ML cargo risk targeting models to better assess cargo threats and inform focus areas for trade targeting. Its outputs are not directly shared with users or operators and the output does not serve as a principal basis for decision or actions.",U,YES,YES,NO,NO,UNCLEAR,NO,U,0,
DOE-574,DOE,M365 Copilot,Pilot,T-3e441efceab0,The M365 Copilot and it's variants are integrated into all LANL collaboration and productivity services within M365 including email and Teams.,U,NO,NO,NO,NO,NO,NO,U,0,
DOE-579,DOE,MR-DT,Pre-deployment,T-93d9abe92b75,This deals with international safeguars approaches.,U,NO,NO,NO,NO,NO,NO,U,0,
DOE-588,DOE,AI-Assisted Strategies and Solutions for Environmental Technology (AI-ASSET),Pre-deployment,T-73364a2de99d,In development stage and impact has not been determined,U,NO,NO,NO,NO,NO,NO,U,0,
DOE-629,DOE,Consolidated Nuclear Waste Glass Database,Pre-deployment,T-73364a2de99d,In development stage and impact has not been determined,U,NO,NO,NO,NO,NO,NO,U,0,
DOE-713,DOE,Performance Monitoring at the Salt Waste Processing Facility (SWPF),Pre-deployment,T-73364a2de99d,In development stage and impact has not been determined,U,NO,NO,NO,NO,NO,NO,U,0,
DOJ-0009,DOJ,CargoNet,Deployed,T-04dfa13cd155,"Does not produce an output that serves as a principal basis for decisions or actions with legal, material, binding, or significant effect on any of the individuals or entities identified in OMB-25-21.",U,YES,NO,NO,NO,NO,NO,U,0,
DOJ-0014,DOJ,Dun & Bradstreet Business Establishments Data,Deployed,T-04dfa13cd155,"Does not produce an output that serves as a principal basis for decisions or actions with legal, material, binding, or significant effect on any of the individuals or entities identified in OMB-25-21.",U,YES,NO,NO,NO,NO,NO,U,0,
DOJ-0019,DOJ,LexisNexis Accurint,Deployed,T-04dfa13cd155,"Does not produce an output that serves as a principal basis for decisions or actions with legal, material, binding, or significant effect on any of the individuals or entities identified in OMB-25-21.",U,YES,NO,NO,NO,NO,NO,U,0,
DOJ-0021,DOJ,Mark43 Public Safety Records,Deployed,T-04dfa13cd155,"Does not produce an output that serves as a principal basis for decisions or actions with legal, material, binding, or significant effect on any of the individuals or entities identified in OMB-25-21.",U,YES,NO,NO,NO,NO,NO,U,0,
DOJ-0022,DOJ,National Insurance Crime Bureau ISO ClaimSearch,Deployed,T-04dfa13cd155,"Does not produce an output that serves as a principal basis for decisions or actions with legal, material, binding, or significant effect on any of the individuals or entities identified in OMB-25-21.",U,YES,NO,NO,NO,NO,NO,U,0,
DOJ-0029,DOJ,Southwest Border Transaction Record Analysis Center (SWBTRAC),Deployed,T-04dfa13cd155,"Does not produce an output that serves as a principal basis for decisions or actions with legal, material, binding, or significant effect on any of the individuals or entities identified in OMB-25-21.",U,YES,NO,NO,NO,NO,NO,U,0,
DOJ-0030,DOJ,Spokeo,Deployed,T-04dfa13cd155,"Does not produce an output that serves as a principal basis for decisions or actions with legal, material, binding, or significant effect on any of the individuals or entities identified in OMB-25-21.",U,YES,NO,NO,NO,NO,NO,U,0,
DOJ-0031,DOJ,Thomson Reuters CLEAR,Deployed,T-04dfa13cd155,"Does not produce an output that serves as a principal basis for decisions or actions with legal, material, binding, or significant effect on any of the individuals or entities identified in OMB-25-21.",U,YES,NO,NO,NO,NO,NO,U,0,
DOJ-0032,DOJ,TransUnion TLOxp Online Investigative Services,Deployed,T-04dfa13cd155,"Does not produce an output that serves as a principal basis for decisions or actions with legal, material, binding, or significant effect on any of the individuals or entities identified in OMB-25-21.",U,YES,NO,NO,NO,NO,NO,U,0,
DOJ-0033,DOJ,Veritone Redact,Deployed,T-04dfa13cd155,"Does not produce an output that serves as a principal basis for decisions or actions with legal, material, binding, or significant effect on any of the individuals or entities identified in OMB-25-21.",U,YES,NO,NO,NO,NO,NO,U,0,
DOJ-0040,DOJ,"SAS (Forecasting, predictive analytics, data/statistical analysis)",Pre-deployment,T-04dfa13cd155,"Does not produce an output that serves as a principal basis for decisions or actions with legal, material, binding, or significant effect on any of the individuals or entities identified in OMB-25-21.",U,YES,NO,NO,NO,NO,NO,U,0,
DOJ-0041,DOJ,"R (Forecasting, predictive analytics, data/statistical analysis)",Pre-deployment,T-04dfa13cd155,"Does not produce an output that serves as a principal basis for decisions or actions with legal, material, binding, or significant effect on any of the individuals or entities identified in OMB-25-21.",U,YES,NO,NO,NO,NO,NO,U,0,
DOJ-0042,DOJ,"Stata (Forecasting, predictive analytics, data/statistical analysis)",Pre-deployment,T-04dfa13cd155,"Does not produce an output that serves as a principal basis for decisions or actions with legal, material, binding, or significant effect on any of the individuals or entities identified in OMB-25-21.",U,YES,NO,NO,NO,NO,NO,U,0,
DOJ-0043,DOJ,"Matlab (Forecasting, predictive analytics, data/statistical analysis)",Pre-deployment,T-04dfa13cd155,"Does not produce an output that serves as a principal basis for decisions or actions with legal, material, binding, or significant effect on any of the individuals or entities identified in OMB-25-21.",U,YES,NO,NO,NO,NO,NO,U,0,
DOJ-0044,DOJ,"Databricks (Forecasting, predictive analytics, data/statistical analysis)",Pilot,T-04dfa13cd155,"Does not produce an output that serves as a principal basis for decisions or actions with legal, material, binding, or significant effect on any of the individuals or entities identified in OMB-25-21.",U,YES,NO,NO,NO,NO,NO,U,0,
DOJ-0072,DOJ,Data & Analytics: Threat and Security Incident Monitoring,Pilot,T-04dfa13cd155,"Does not produce an output that serves as a principal basis for decisions or actions with legal, material, binding, or significant effect on any of the individuals or entities identified in OMB-25-21.",U,YES,NO,NO,NO,NO,NO,U,0,
DOJ-0073,DOJ,Data & Analytics: Transportation OCR,Pre-deployment,T-04dfa13cd155,"Does not produce an output that serves as a principal basis for decisions or actions with legal, material, binding, or significant effect on any of the individuals or entities identified in OMB-25-21.",U,YES,NO,NO,NO,NO,NO,U,0,
DOJ-0102,DOJ,eLitigation Tools,Deployed,T-04dfa13cd155,"Does not produce an output that serves as a principal basis for decisions or actions with legal, material, binding, or significant effect on any of the individuals or entities identified in OMB-25-21.",U,YES,NO,NO,NO,NO,NO,U,0,
DOJ-0153,DOJ,Google Translate,Deployed,T-04dfa13cd155,"Does not produce an output that serves as a principal basis for decisions or actions with legal, material, binding, or significant effect on any of the individuals or entities identified in OMB-25-21.",U,YES,NO,NO,NO,NO,NO,U,0,
DOJ-0220,DOJ,AWS Transcribe,Deployed,T-04dfa13cd155,"Does not produce an output that serves as a principal basis for decisions or actions with legal, material, binding, or significant effect on any of the individuals or entities identified in OMB-25-21.",U,YES,NO,NO,NO,NO,NO,U,0,
DOJ-0221,DOJ,AWS Translate,Deployed,T-04dfa13cd155,"Does not produce an output that serves as a principal basis for decisions or actions with legal, material, binding, or significant effect on any of the individuals or entities identified in OMB-25-21.",U,YES,NO,NO,NO,NO,NO,U,0,
DOJ-0235,DOJ,Aware,Deployed,T-04dfa13cd155,"Does not produce an output that serves as a principal basis for decisions or actions with legal, material, binding, or significant effect on any of the individuals or entities identified in OMB-25-21.",U,YES,NO,NO,NO,NO,NO,U,0,
DOJ-0239,DOJ,Thomson Reuters CLEAR,Deployed,T-04dfa13cd155,"Does not produce an output that serves as a principal basis for decisions or actions with legal, material, binding, or significant effect on any of the individuals or entities identified in OMB-25-21.",U,YES,NO,NO,NO,NO,NO,U,0,
DOJ-0265,DOJ,Public Comment Analysis,Deployed,T-04dfa13cd155,"Does not produce an output that serves as a principal basis for decisions or actions with legal, material, binding, or significant effect on any of the individuals or entities identified in OMB-25-21.",U,YES,NO,NO,NO,NO,NO,U,0,
DOJ-0271,DOJ,Pega GenAI,Pre-deployment,T-04dfa13cd155,"Does not produce an output that serves as a principal basis for decisions or actions with legal, material, binding, or significant effect on any of the individuals or entities identified in OMB-25-21.",U,YES,NO,NO,NO,NO,NO,U,0,
DOJ-0315,DOJ,Civil Rights Public Reporting Portal,Pre-deployment,T-04dfa13cd155,"Does not produce an output that serves as a principal basis for decisions or actions with legal, material, binding, or significant effect on any of the individuals or entities identified in OMB-25-21.",U,YES,NO,NO,NO,NO,NO,U,0,
DOJ-0326,DOJ,AWS Textract,Pre-deployment,T-04dfa13cd155,"Does not produce an output that serves as a principal basis for decisions or actions with legal, material, binding, or significant effect on any of the individuals or entities identified in OMB-25-21.",U,YES,NO,NO,NO,NO,NO,U,0,
DOJ-0332,DOJ,ATR Expert/Consulting with Bates White,Deployed,T-04dfa13cd155,"Does not produce an output that serves as a principal basis for decisions or actions with legal, material, binding, or significant effect on any of the individuals or entities identified in OMB-25-21.",U,YES,NO,NO,NO,NO,NO,U,0,
DOJ-0357-R01,DOJ,Creating and Maintaining IT Security Packages for Authorizations,Pre-deployment,T-04dfa13cd155,"Does not produce an output that serves as a principal basis for decisions or actions with legal, material, binding, or significant effect on any of the individuals or entities identified in OMB-25-21.",U,YES,NO,NO,NO,NO,NO,U,0,
DOJ-0357-R02,DOJ,Creating and Maintaining IT Security Packages for Authorizations,Pre-deployment,T-04dfa13cd155,"Does not produce an output that serves as a principal basis for decisions or actions with legal, material, binding, or significant effect on any of the individuals or entities identified in OMB-25-21.",U,YES,NO,NO,NO,NO,NO,U,0,
DOJ-0362,DOJ,Analyzing Prescription Monitoring Program Data,Pre-deployment,T-04dfa13cd155,"Does not produce an output that serves as a principal basis for decisions or actions with legal, material, binding, or significant effect on any of the individuals or entities identified in OMB-25-21.",U,YES,NO,NO,NO,NO,NO,U,0,
DOJ-0363,DOJ,Analyze Financial Reports to Identify Linkages Across Investigations,Pre-deployment,T-04dfa13cd155,"Does not produce an output that serves as a principal basis for decisions or actions with legal, material, binding, or significant effect on any of the individuals or entities identified in OMB-25-21.",U,YES,NO,NO,NO,NO,NO,U,0,
MISSING-18A285367578,HHS,FOIA REDACTION (FRED) TOOL,Deployed,T-f49fc88319d0,"FRED should not be considered a high-impact AI use case because: a. It operates as a recommendation system only, with mandatory human review and approval required for all outputs. b. No automated decisions are made - humans retain full control over all redaction decisions. c. It serves as an assistive tool to improve efficiency while maintaining human oversight and accountability for all FOIA compliance decisions.",D,YES,YES,NO,NO,NO,YES,D,0,
MISSING-2045216ACC4E,HHS,Enhanced Direct Enrollment Outlier Detection,Pre-deployment,T-79fa6bfbdf44,"The Enhanced Direct Enrollment Outlier Detection use-case is not considered high-impact as it does not serve as the basis for decisions or actions that affect civil rights, liberties, privacy, critical resources, safety, or strategic assets. The AI models within this use-case use machine learning techniques to detect anomalous or inconsistent patterns relative to standard partner actions and other application channels outside of the EDE pathway. The findings are shared with the agency divisions in the form of different reports and tables. The data alone is not enough to determine fraud, however, can be used by CMS in tandem with other data to determine if CMS should take any corrective actions. CMS makes all determinations on actions.",D,YES,YES,NO,NO,NO,YES,D,0,
MISSING-404BD6C1AE03,HHS,Structuring Notice of Concern Data,Deployed,T-739581454da2,"The use of AI is narrowly focused on extracting key data points from unstructured narratives and validating data completeness. The outputs do not serve as a principal basis for decisions or actions with legal, material, binding, or significant effect on any of the 6 cases outlined in M-25-21, page 19.",S,YES,YES,NO,NO,YES,NO,S,0,
MISSING-4B41CCE5A80E,HHS,Computer Vision to translate and mine Product Labeling photos to analyze labeling for potential violations,Pre-deployment,T-1425969ae25c,"The Computer Vision (CV) project aims to automate label extraction (identification of label information) for regulatory compliance, reducing manual effort and improving accuracy in detecting label discrepancies.",U,NO,YES,NO,NO,NO,NO,U,0,
MISSING-6FB970D7652E,HHS,Structuring and Validating Completeness of Case Data Information,Deployed,T-7530fa9894b4,"The use of AI is narrowly focused on extracting key data points from scanned notices. The outputs do not serve as a principal basis for decisions or actions with legal, material, binding, or significant effect on any of the 6 cases outlined in M-25-21, page 19.",U,YES,YES,NO,NO,UNCLEAR,NO,U,0,
MISSING-7DF6162305FD,HHS,CDER Regulatory Science Research (RSR) Projects AI for Process Control in Advanced Manufacturing,Deployed,T-82676cbec526,"This project explores the use of AI in advanced pharmaceutical manufacturing as part of an exploratory R&D effort focused on model predictive control strategies. The AI components are used solely in a research context to improve understanding of AI-enabled control systems and inform future regulatory readiness. The project does not involve operational use, decision-making, or direct impact on the public or regulated entities. Therefore, it does not meet the definition of a high-impact AI use case under OMB M-25-21.",U,UNCLEAR,UNCLEAR,NO,NO,NO,NO,U,0,
MISSING-8A490802AE57,HHS,NICHD RPAB AI/ML Application Referral System,Deployed,T-cd6ef69cc9cc,"The primary objective is to improve the efficiency, accuracy, and consistency of grant application referral assignments while streamlining the internal process for referring new applications. The AI-generated output supports subject matter experts by providing additional information that helps them make faster decisions and prioritize applications for review. All AI output is used solely as an assistive tool, and every referral decision undergoes 100% human review. Therefore, this use case does not meet the definition of a high-impact AI.",D,NO,YES,NO,NO,NO,YES,D,0,
MISSING-91EA622F8902,HHS,Internal Referral Module (IRM),Deployed,T-c8716646c61f,"The output from this AI use case does not drive any agency decision, including the categories listed in section 6 of the memorandum. The output is a recommendation to assign a grant application to the appropriate Agency staff based on the scientific content of the application. The person to whom the grant application has been referred to can accept, reject, or reassign the application based on their expertise.",D,YES,YES,NO,NO,NO,YES,D,0,
MISSING-94D0D1898672,HHS,NICHD RPAB AI/ML NICHD Relevance Model,Pilot,T-cd6ef69cc9cc,"The primary objective is to improve the efficiency, accuracy, and consistency of grant application referral assignments while streamlining the internal process for referring new applications. The AI-generated output supports subject matter experts by providing additional information that helps them make faster decisions and prioritize applications for review. All AI output is used solely as an assistive tool, and every referral decision undergoes 100% human review. Therefore, this use case does not meet the definition of a high-impact AI.",D,NO,YES,NO,NO,NO,YES,D,0,
MISSING-AB553836F519,HHS,AI-Powered Video Analytics for Law Enforcement,Deployed,T-4c341bf155e4,"AI is used to filter relevant video, but outputs are verified by humans, decisions/actions are performed by humans",D,NO,YES,NO,NO,NO,YES,D,0,
MISSING-C38B75F17C3C,HHS,NLP Automated Referral,Deployed,T-88c2703d4c0f,"First, the NLP Automated Referral tool produces non-binding recommendations regarding which NIGMS program officer is most appropriate to manage an incoming grant application, along with two alternative suggestions. Program officers must actively accept the assignment or refer the application to a more appropriate program officer, and they have full discretion to ignore or override the AI tool’s recommendations. The system’s output is therefore not a principal basis for any legal or binding decision; it is one of several informational inputs to an internal workflow choice made by human staff. Second, all funding and programmatic decisions are made through established peer review and programmatic processes, governed by existing NIH/NIGMS policies and human judgment. Final funding decisions are made by the NIGMS Director in consultation with the NIGMS Advisory Council, the NIGMS Deputy Director, and the NIGMS Division Directors, not the individual program officers who manage the applications. As a result, the AI’s output does not directly affect an individual’s or organization’s access to Federal funding or other critical government resources or services, nor does it alter anyone’s legal status or rights. Finally, the NLP Automated Referral tool does not fall into any of the categories of AI use cases identified in Section 6 of M-25-21 that are automatically designated high-impact. It is a routing tool used for internal staff portfolio management.",S,YES,YES,YES,YES,YES,YES,S,0,
MISSING-E9650DD065E1,HHS,Developing an Objective and Quantitative Endpoint for Atopic Dermatitis in Pediatric and Adult Populations,Deployed,T-527ae4bd3d6a,"The purpose of this study is to validate the Emerald technology to see if it accurately detects the motion of an individual scratching. The act of scratching would not be considered to have a significant effect on human health and safety, which means this study is not a high-impact AI use case based on the definition in OMB M-25-21.",U,YES,YES,NO,NO,NO,NO,U,0,
MISSING-F55AC1E5A2AD,HHS,Agent/Broker Fraud Analysis (ABCQI),Pre-deployment,T-e32d814335cd,"The Agent/Broker Fraud use-case is not considered high-impact as it does not serve as the basis for decisions or actions that affect civil rights, liberties, privacy, critical resources, safety, or strategic assets. The AI models within this use-case use machine learning techniques to detect patterns that are inconsistent or anomalous relative to standard consumer, agent broker, and partner actions. Our findings are shared with the agency divisions in the form of reports and tables and can be used in combination with additional information derived outside of this AI tool to determine if CMS should take any corrective actions. All outcomes are internal facing. CMS makes all determinations on actions.",D,YES,YES,UNCLEAR,NO,NO,YES,D,0,
NASA-234,NASA,MLNav (Machine Learning Navigation),Deployed,T-79b6c7760b49,Low-speed engagements with terrain features on Mars; part of core mission parameters. Mars Rover cannot harm humans or impact rights.,U,YES,NO,NO,NO,UNCLEAR,NO,U,0,
NASA-398,NASA,Autonomous WAiting Room Evaluation (AWARE),Deployed,T-247d9ff961dd,This AI processes images of people waiting in the Langley Badge & Pass office. The people are counted and their images immediately deleted to avoid privacy issues.,U,YES,YES,NO,NO,NO,NO,U,0,
NASA-487,NASA,"AI Digital Assistants (HRP) [was ""Doc in a Box"" for Earth Independent Medical Operations (EIMO)]",Pilot,T-f6d1903d8370,"Digital assistant does not take any action, only gives information for a crew to act upon. Informational purposes only.",U,NO,YES,NO,NO,NO,YES,U,0,
TBD-R01,STB,Copilot for Appian,Pre-deployment,T-2ca831780599,"AI may be integrated in decision or activity pipelines in high-impact categories without meeting the definition of high-impact because the Al's output does not actually ""serve as a principal basis for"" the relevant type of agency action or decision, as described in OMB Memo M-25-21 definition of ""high-impact Al.""",U,YES,NO,NO,NO,NO,NO,U,0,
TBD-R02,STB,RelativityOne,Pre-deployment,T-2ca831780599,"AI may be integrated in decision or activity pipelines in high-impact categories without meeting the definition of high-impact because the Al's output does not actually ""serve as a principal basis for"" the relevant type of agency action or decision, as described in OMB Memo M-25-21 definition of ""high-impact Al.""",U,YES,NO,NO,NO,NO,NO,U,0,
TREAS-94,TREAS,AI Contract Document Toolbox,Deployed,T-e2b1ee3e9028,"AI Contract Document Toolbox drafts procurement narratives, supports vendor evaluations, and aids source selection. It offers recommendations but does not approve contracts. Final decisions are made by agency officials using multiple information sources.",D,YES,YES,UNCLEAR,NO,NO,YES,D,0,
TREAS-IRS-75,TREAS,Procurement Research,Pre-deployment,T-12ed683e528f,Research effort may examine AI bias (e.g. large vs. small business) in drafting procurement documents as market research / proposal evaluation. Research effort and not an operational use case where AI will make or influence government decisions.,U,YES,UNCLEAR,NO,NO,NO,NO,U,0,
TREAS-IRS-9,TREAS,Vendor Risk Analytics,Pilot,T-8e7ddb102390,AI makes recommendations only and any contracting decisions would go through multiple layers of review by agency officials.,D,YES,YES,NO,NO,NO,YES,D,0,
USDA-048,USDA,Dam Inspection Report Document Processing,Deployed,T-c961f5774051,"The AI is used for information extraction that informs dam portfolio decisions. However, the principal basis for decisions is made by humans for the repairs, and is vetted through aerial imagery analysis, the Oklahoma Conservation Commission, and associated dam sponsors.",S,YES,YES,YES,NO,NO,YES,S,0,
USDA-175,USDA,AI for Environmental Permitting Review,Pilot,T-bf30867b6bf4,"AI is not making any final decisions, only recommendations for authorized staff to review.",D,NO,YES,NO,NO,NO,YES,D,0,
