id,agency,template_id,review_flags,reconciled_status,gpt_5_4_status,gpt_5_4_mini_status,missing_roles,rationale,boundary
DOE-713,DOE,T-73364a2de99d,,U,U,U,P|O|W,In development stage and impact has not been determined,Review triage only; no expert labels or legal determinations
DOJ-0009,DOJ,T-04dfa13cd155,,U,U,U,O|W,"Does not produce an output that serves as a principal basis for decisions or actions with legal, material, binding, or significant effect on any of the individuals or entities identified in OMB-25-21.",Review triage only; no expert labels or legal determinations
DOJ-0014,DOJ,T-04dfa13cd155,,U,U,U,O|W,"Does not produce an output that serves as a principal basis for decisions or actions with legal, material, binding, or significant effect on any of the individuals or entities identified in OMB-25-21.",Review triage only; no expert labels or legal determinations
DOJ-0019,DOJ,T-04dfa13cd155,,U,U,U,O|W,"Does not produce an output that serves as a principal basis for decisions or actions with legal, material, binding, or significant effect on any of the individuals or entities identified in OMB-25-21.",Review triage only; no expert labels or legal determinations
DOJ-0021,DOJ,T-04dfa13cd155,,U,U,U,O|W,"Does not produce an output that serves as a principal basis for decisions or actions with legal, material, binding, or significant effect on any of the individuals or entities identified in OMB-25-21.",Review triage only; no expert labels or legal determinations
DOJ-0022,DOJ,T-04dfa13cd155,,U,U,U,O|W,"Does not produce an output that serves as a principal basis for decisions or actions with legal, material, binding, or significant effect on any of the individuals or entities identified in OMB-25-21.",Review triage only; no expert labels or legal determinations
DOJ-0029,DOJ,T-04dfa13cd155,,U,U,U,O|W,"Does not produce an output that serves as a principal basis for decisions or actions with legal, material, binding, or significant effect on any of the individuals or entities identified in OMB-25-21.",Review triage only; no expert labels or legal determinations
DOJ-0030,DOJ,T-04dfa13cd155,,U,U,U,O|W,"Does not produce an output that serves as a principal basis for decisions or actions with legal, material, binding, or significant effect on any of the individuals or entities identified in OMB-25-21.",Review triage only; no expert labels or legal determinations
DOJ-0031,DOJ,T-04dfa13cd155,,U,U,U,O|W,"Does not produce an output that serves as a principal basis for decisions or actions with legal, material, binding, or significant effect on any of the individuals or entities identified in OMB-25-21.",Review triage only; no expert labels or legal determinations
DOJ-0032,DOJ,T-04dfa13cd155,,U,U,U,O|W,"Does not produce an output that serves as a principal basis for decisions or actions with legal, material, binding, or significant effect on any of the individuals or entities identified in OMB-25-21.",Review triage only; no expert labels or legal determinations
DOJ-0033,DOJ,T-04dfa13cd155,,U,U,U,O|W,"Does not produce an output that serves as a principal basis for decisions or actions with legal, material, binding, or significant effect on any of the individuals or entities identified in OMB-25-21.",Review triage only; no expert labels or legal determinations
DOJ-0040,DOJ,T-04dfa13cd155,,U,U,U,O|W,"Does not produce an output that serves as a principal basis for decisions or actions with legal, material, binding, or significant effect on any of the individuals or entities identified in OMB-25-21.",Review triage only; no expert labels or legal determinations
DOJ-0041,DOJ,T-04dfa13cd155,,U,U,U,O|W,"Does not produce an output that serves as a principal basis for decisions or actions with legal, material, binding, or significant effect on any of the individuals or entities identified in OMB-25-21.",Review triage only; no expert labels or legal determinations
DOJ-0042,DOJ,T-04dfa13cd155,,U,U,U,O|W,"Does not produce an output that serves as a principal basis for decisions or actions with legal, material, binding, or significant effect on any of the individuals or entities identified in OMB-25-21.",Review triage only; no expert labels or legal determinations
DOJ-0043,DOJ,T-04dfa13cd155,,U,U,U,O|W,"Does not produce an output that serves as a principal basis for decisions or actions with legal, material, binding, or significant effect on any of the individuals or entities identified in OMB-25-21.",Review triage only; no expert labels or legal determinations
DOJ-0044,DOJ,T-04dfa13cd155,,U,U,U,O|W,"Does not produce an output that serves as a principal basis for decisions or actions with legal, material, binding, or significant effect on any of the individuals or entities identified in OMB-25-21.",Review triage only; no expert labels or legal determinations
DOJ-0072,DOJ,T-04dfa13cd155,,U,U,U,O|W,"Does not produce an output that serves as a principal basis for decisions or actions with legal, material, binding, or significant effect on any of the individuals or entities identified in OMB-25-21.",Review triage only; no expert labels or legal determinations
DOJ-0073,DOJ,T-04dfa13cd155,,U,U,U,O|W,"Does not produce an output that serves as a principal basis for decisions or actions with legal, material, binding, or significant effect on any of the individuals or entities identified in OMB-25-21.",Review triage only; no expert labels or legal determinations
DOJ-0102,DOJ,T-04dfa13cd155,,U,U,U,O|W,"Does not produce an output that serves as a principal basis for decisions or actions with legal, material, binding, or significant effect on any of the individuals or entities identified in OMB-25-21.",Review triage only; no expert labels or legal determinations
DOJ-0153,DOJ,T-04dfa13cd155,,U,U,U,O|W,"Does not produce an output that serves as a principal basis for decisions or actions with legal, material, binding, or significant effect on any of the individuals or entities identified in OMB-25-21.",Review triage only; no expert labels or legal determinations
DOJ-0220,DOJ,T-04dfa13cd155,,U,U,U,O|W,"Does not produce an output that serves as a principal basis for decisions or actions with legal, material, binding, or significant effect on any of the individuals or entities identified in OMB-25-21.",Review triage only; no expert labels or legal determinations
DOJ-0221,DOJ,T-04dfa13cd155,,U,U,U,O|W,"Does not produce an output that serves as a principal basis for decisions or actions with legal, material, binding, or significant effect on any of the individuals or entities identified in OMB-25-21.",Review triage only; no expert labels or legal determinations
DOJ-0235,DOJ,T-04dfa13cd155,,U,U,U,O|W,"Does not produce an output that serves as a principal basis for decisions or actions with legal, material, binding, or significant effect on any of the individuals or entities identified in OMB-25-21.",Review triage only; no expert labels or legal determinations
DOJ-0239,DOJ,T-04dfa13cd155,,U,U,U,O|W,"Does not produce an output that serves as a principal basis for decisions or actions with legal, material, binding, or significant effect on any of the individuals or entities identified in OMB-25-21.",Review triage only; no expert labels or legal determinations
DOJ-0265,DOJ,T-04dfa13cd155,,U,U,U,O|W,"Does not produce an output that serves as a principal basis for decisions or actions with legal, material, binding, or significant effect on any of the individuals or entities identified in OMB-25-21.",Review triage only; no expert labels or legal determinations
DOJ-0271,DOJ,T-04dfa13cd155,,U,U,U,O|W,"Does not produce an output that serves as a principal basis for decisions or actions with legal, material, binding, or significant effect on any of the individuals or entities identified in OMB-25-21.",Review triage only; no expert labels or legal determinations
DOJ-0315,DOJ,T-04dfa13cd155,,U,U,U,O|W,"Does not produce an output that serves as a principal basis for decisions or actions with legal, material, binding, or significant effect on any of the individuals or entities identified in OMB-25-21.",Review triage only; no expert labels or legal determinations
DOJ-0326,DOJ,T-04dfa13cd155,,U,U,U,O|W,"Does not produce an output that serves as a principal basis for decisions or actions with legal, material, binding, or significant effect on any of the individuals or entities identified in OMB-25-21.",Review triage only; no expert labels or legal determinations
DOJ-0332,DOJ,T-04dfa13cd155,,U,U,U,O|W,"Does not produce an output that serves as a principal basis for decisions or actions with legal, material, binding, or significant effect on any of the individuals or entities identified in OMB-25-21.",Review triage only; no expert labels or legal determinations
DOJ-0357-R01,DOJ,T-04dfa13cd155,,U,U,U,O|W,"Does not produce an output that serves as a principal basis for decisions or actions with legal, material, binding, or significant effect on any of the individuals or entities identified in OMB-25-21.",Review triage only; no expert labels or legal determinations
DOJ-0357-R02,DOJ,T-04dfa13cd155,,U,U,U,O|W,"Does not produce an output that serves as a principal basis for decisions or actions with legal, material, binding, or significant effect on any of the individuals or entities identified in OMB-25-21.",Review triage only; no expert labels or legal determinations
DOJ-0362,DOJ,T-04dfa13cd155,,U,U,U,O|W,"Does not produce an output that serves as a principal basis for decisions or actions with legal, material, binding, or significant effect on any of the individuals or entities identified in OMB-25-21.",Review triage only; no expert labels or legal determinations
DOJ-0363,DOJ,T-04dfa13cd155,,U,U,U,O|W,"Does not produce an output that serves as a principal basis for decisions or actions with legal, material, binding, or significant effect on any of the individuals or entities identified in OMB-25-21.",Review triage only; no expert labels or legal determinations
MISSING-18A285367578,HHS,T-f49fc88319d0,panel/model status disagreement,D,D,S,W,"FRED should not be considered a high-impact AI use case because: a. It operates as a recommendation system only, with mandatory human review and approval required for all outputs. b. No automated decisions are made - humans retain full control over all redaction decisions. c. It serves as an assistive tool to improve efficiency while maintaining human oversight and accountability for all FOIA compliance decisions.",Review triage only; no expert labels or legal determinations
MISSING-2045216ACC4E,HHS,T-79fa6bfbdf44,panel/model status disagreement,D,S,D,W,"The Enhanced Direct Enrollment Outlier Detection use-case is not considered high-impact as it does not serve as the basis for decisions or actions that affect civil rights, liberties, privacy, critical resources, safety, or strategic assets. The AI models within this use-case use machine learning techniques to detect anomalous or inconsistent patterns relative to standard partner actions and other application channels outside of the EDE pathway. The findings are shared with the agency divisions in the form of different reports and tables. The data alone is not enough to determine fraud, however, can be used by CMS in tandem with other data to determine if CMS should take any corrective actions. CMS makes all determinations on actions.",Review triage only; no expert labels or legal determinations
MISSING-404BD6C1AE03,HHS,T-739581454da2,panel/model status disagreement,S,S,U,,"The use of AI is narrowly focused on extracting key data points from unstructured narratives and validating data completeness. The outputs do not serve as a principal basis for decisions or actions with legal, material, binding, or significant effect on any of the 6 cases outlined in M-25-21, page 19.",Review triage only; no expert labels or legal determinations
MISSING-4B41CCE5A80E,HHS,T-1425969ae25c,,U,U,U,P|W,"The Computer Vision (CV) project aims to automate label extraction (identification of label information) for regulatory compliance, reducing manual effort and improving accuracy in detecting label discrepancies.",Review triage only; no expert labels or legal determinations
MISSING-6FB970D7652E,HHS,T-7530fa9894b4,panel/model status disagreement|linked-document provenance review,U,U,S,W,"The use of AI is narrowly focused on extracting key data points from scanned notices. The outputs do not serve as a principal basis for decisions or actions with legal, material, binding, or significant effect on any of the 6 cases outlined in M-25-21, page 19.",Review triage only; no expert labels or legal determinations
MISSING-7DF6162305FD,HHS,T-82676cbec526,,U,U,U,P|O|W,"This project explores the use of AI in advanced pharmaceutical manufacturing as part of an exploratory R&D effort focused on model predictive control strategies. The AI components are used solely in a research context to improve understanding of AI-enabled control systems and inform future regulatory readiness. The project does not involve operational use, decision-making, or direct impact on the public or regulated entities. Therefore, it does not meet the definition of a high-impact AI use case under OMB M-25-21.",Review triage only; no expert labels or legal determinations
MISSING-8A490802AE57,HHS,T-cd6ef69cc9cc,,D,D,D,P|W,"The primary objective is to improve the efficiency, accuracy, and consistency of grant application referral assignments while streamlining the internal process for referring new applications. The AI-generated output supports subject matter experts by providing additional information that helps them make faster decisions and prioritize applications for review. All AI output is used solely as an assistive tool, and every referral decision undergoes 100% human review. Therefore, this use case does not meet the definition of a high-impact AI.",Review triage only; no expert labels or legal determinations
MISSING-91EA622F8902,HHS,T-c8716646c61f,panel/model status disagreement,D,S,D,W,"The output from this AI use case does not drive any agency decision, including the categories listed in section 6 of the memorandum. The output is a recommendation to assign a grant application to the appropriate Agency staff based on the scientific content of the application. The person to whom the grant application has been referred to can accept, reject, or reassign the application based on their expertise.",Review triage only; no expert labels or legal determinations
MISSING-94D0D1898672,HHS,T-cd6ef69cc9cc,,D,D,D,P|W,"The primary objective is to improve the efficiency, accuracy, and consistency of grant application referral assignments while streamlining the internal process for referring new applications. The AI-generated output supports subject matter experts by providing additional information that helps them make faster decisions and prioritize applications for review. All AI output is used solely as an assistive tool, and every referral decision undergoes 100% human review. Therefore, this use case does not meet the definition of a high-impact AI.",Review triage only; no expert labels or legal determinations
MISSING-AB553836F519,HHS,T-4c341bf155e4,,D,D,D,P|W,"AI is used to filter relevant video, but outputs are verified by humans, decisions/actions are performed by humans",Review triage only; no expert labels or legal determinations
MISSING-C38B75F17C3C,HHS,T-88c2703d4c0f,,S,S,S,,"First, the NLP Automated Referral tool produces non-binding recommendations regarding which NIGMS program officer is most appropriate to manage an incoming grant application, along with two alternative suggestions. Program officers must actively accept the assignment or refer the application to a more appropriate program officer, and they have full discretion to ignore or override the AI tool’s recommendations. The system’s output is therefore not a principal basis for any legal or binding decision; it is one of several informational inputs to an internal workflow choice made by human staff. Second, all funding and programmatic decisions are made through established peer review and programmatic processes, governed by existing NIH/NIGMS policies and human judgment. Final funding decisions are made by the NIGMS Director in consultation with the NIGMS Advisory Council, the NIGMS Deputy Director, and the NIGMS Division Directors, not the individual program officers who manage the applications. As a result, the AI’s output does not directly affect an individual’s or organization’s access to Federal funding or other critical government resources or services, nor does it alter anyone’s legal status or rights. Finally, the NLP Automated Referral tool does not fall into any of the categories of AI use cases identified in Section 6 of M-25-21 that are automatically designated high-impact. It is a routing tool used for internal staff portfolio management.",Review triage only; no expert labels or legal determinations
MISSING-E9650DD065E1,HHS,T-527ae4bd3d6a,unchanged-text status reversal,U,U,U,W,"The purpose of this study is to validate the Emerald technology to see if it accurately detects the motion of an individual scratching. The act of scratching would not be considered to have a significant effect on human health and safety, which means this study is not a high-impact AI use case based on the definition in OMB M-25-21.",Review triage only; no expert labels or legal determinations
MISSING-F55AC1E5A2AD,HHS,T-e32d814335cd,,D,D,D,W,"The Agent/Broker Fraud use-case is not considered high-impact as it does not serve as the basis for decisions or actions that affect civil rights, liberties, privacy, critical resources, safety, or strategic assets. The AI models within this use-case use machine learning techniques to detect patterns that are inconsistent or anomalous relative to standard consumer, agent broker, and partner actions. Our findings are shared with the agency divisions in the form of reports and tables and can be used in combination with additional information derived outside of this AI tool to determine if CMS should take any corrective actions. All outcomes are internal facing. CMS makes all determinations on actions.",Review triage only; no expert labels or legal determinations
NASA-234,NASA,T-79b6c7760b49,,U,U,U,O|W,Low-speed engagements with terrain features on Mars; part of core mission parameters. Mars Rover cannot harm humans or impact rights.,Review triage only; no expert labels or legal determinations
NASA-398,NASA,T-247d9ff961dd,,U,U,U,W,This AI processes images of people waiting in the Langley Badge & Pass office. The people are counted and their images immediately deleted to avoid privacy issues.,Review triage only; no expert labels or legal determinations
NASA-487,NASA,T-f6d1903d8370,panel/model status disagreement,U,D,U,P|W,"Digital assistant does not take any action, only gives information for a crew to act upon. Informational purposes only.",Review triage only; no expert labels or legal determinations
TBD-R01,STB,T-2ca831780599,,U,U,U,O|W,"AI may be integrated in decision or activity pipelines in high-impact categories without meeting the definition of high-impact because the Al's output does not actually ""serve as a principal basis for"" the relevant type of agency action or decision, as described in OMB Memo M-25-21 definition of ""high-impact Al.""",Review triage only; no expert labels or legal determinations
TBD-R02,STB,T-2ca831780599,,U,U,U,O|W,"AI may be integrated in decision or activity pipelines in high-impact categories without meeting the definition of high-impact because the Al's output does not actually ""serve as a principal basis for"" the relevant type of agency action or decision, as described in OMB Memo M-25-21 definition of ""high-impact Al.""",Review triage only; no expert labels or legal determinations
TREAS-94,TREAS,T-e2b1ee3e9028,,D,D,D,W,"AI Contract Document Toolbox drafts procurement narratives, supports vendor evaluations, and aids source selection. It offers recommendations but does not approve contracts. Final decisions are made by agency officials using multiple information sources.",Review triage only; no expert labels or legal determinations
TREAS-IRS-75,TREAS,T-12ed683e528f,,U,U,U,O|W,Research effort may examine AI bias (e.g. large vs. small business) in drafting procurement documents as market research / proposal evaluation. Research effort and not an operational use case where AI will make or influence government decisions.,Review triage only; no expert labels or legal determinations
TREAS-IRS-9,TREAS,T-8e7ddb102390,,D,D,D,W,AI makes recommendations only and any contracting decisions would go through multiple layers of review by agency officials.,Review triage only; no expert labels or legal determinations
USDA-048,USDA,T-c961f5774051,,S,S,S,,"The AI is used for information extraction that informs dam portfolio decisions. However, the principal basis for decisions is made by humans for the repairs, and is vetted through aerial imagery analysis, the Oklahoma Conservation Commission, and associated dam sponsors.",Review triage only; no expert labels or legal determinations
USDA-175,USDA,T-bf30867b6bf4,,D,D,D,P|W,"AI is not making any final decisions, only recommendations for authorized staff to review.",Review triage only; no expert labels or legal determinations
