lens,lens_name,id,P,O,W_ind,W_opt,W_nar,H,status,excerpts,ambiguity,confidence,reported_status,formula_corrected
2,policy-burden mapping,DHS-2383,NO,YES,NO,NO,NO,NO,U,"{'P': '', 'O': 'The pilot receives a visual alert on the hand controller, indicating a possible collision', 'W': '', 'H': ''}",The rationale describes safety-related outputs and actions but does not deny or answer the high-impact threshold.,0.99,U,0
2,policy-burden mapping,DHS-24,YES,NO,NO,NO,NO,NO,U,"{'P': 'do not produce an action or serve as a principal basis for a decision', 'O': '', 'W': '', 'H': ''}",The rationale states the denied predicate but never identifies the output or its workflow use.,0.99,U,0
2,policy-burden mapping,DHS-2417,YES,YES,NO,YES,NO,NO,S,"{'P': 'CBP does not make any decision or action based on a no-match.', 'O': 'the service cannot match a traveler', 'W': 'the traveler may continue check-in/bag drop via another means', 'H': ''}",,0.99,S,0
2,policy-burden mapping,DHS-2427,YES,YES,YES,NO,YES,YES,S,"{'P': 'do not serve as a principal basis for law enforcement action or decision', 'O': 'investigative insights in the form of data, information leads or connections that HSI personnel can use to inform investigations', 'W': 'Any enforcement decisions related to these insights are outcomes of the full Federal Investigation Process involving verifying any insights as evidence', 'H': 'all insights are reviewed and validated by both personnel and supervisors'}",,0.99,S,0
2,policy-burden mapping,DHS-2434,YES,YES,NO,NO,YES,NO,S,"{'P': 'does not actually ""serve as a principal basis for"" the relevant type of agency action or decision', 'O': 'The collated information supports decisions about staffing priorities', 'W': 'supports decisions about staffing priorities but is not used to make security-related or employment-related decisions', 'H': ''}",,0.98,S,0
2,policy-burden mapping,DHS-2511,YES,YES,NO,NO,YES,YES,S,"{'P': 'no direct impact on investigative decisions or legal outcomes', 'O': 'detecting and obscuring faces, objects, or sensitive information', 'W': 'its outputs are strictly limited to redactions', 'H': 'subject to comprehensive human review and editing before finalization'}",,0.99,S,0
2,policy-burden mapping,DHS-2517,YES,YES,YES,NO,NO,YES,S,"{'P': 'do not serve as a principal basis for any law enforcement action or decision', 'O': 'investigative insights', 'W': 'Any enforcement decisions related to these insights are outcomes of the full Federal Investigation Process involving verifying any insights as evidence', 'H': 'all insights are reviewed and validated by both personnel and supervisors'}",,0.99,S,0
2,policy-burden mapping,DHS-2543,YES,YES,NO,NO,YES,NO,S,"{'P': 'not used to make security-related or employment-related decisions', 'O': 'collates information provided by or authorized to be collected by an employee', 'W': 'supports decisions about staffing priorities but is not used to make security-related or employment-related decisions', 'H': ''}",,0.98,S,0
2,policy-burden mapping,DHS-2547,YES,YES,YES,NO,NO,YES,S,"{'P': 'outputs do not directly serve as a principal basis for enforcement actions or regulatory decisions', 'O': 'the AI-generated knowledge graph provides a foundation for further human-led investigation', 'W': 'requiring source validation through separate processes', 'H': 'provides a foundation for further human-led investigation'}",,0.99,S,0
2,policy-burden mapping,DHS-2552,YES,YES,YES,NO,YES,YES,S,"{'P': 'outputs do not serve as a ""principal basis"" for decisions or actions with legal, material, binding, or significant effects', 'O': 'AI-generated tags and app artifacts are suggestions', 'W': 'require manual validation and further investigation before enforcement actions are taken', 'H': 'All outputs are reviewed as part of a broader investigative process before any actions are taken.'}",,0.96,S,0
2,policy-burden mapping,DHS-2565,NO,UNCLEAR,NO,NO,NO,NO,U,"{'P': '', 'O': 'identify people, animals, and vehicles as well as extract license plate information', 'W': '', 'H': ''}","The operational use of the extracted information is expressly undetermined, and the rationale gives only a temporal defense.",0.98,U,0
2,policy-burden mapping,DHS-2568,YES,YES,UNCLEAR,NO,YES,YES,S,"{'P': 'does not serve as the principal basis for decisions or actions', 'O': 'User is provided with information for detected objects lacking AIS signal.', 'W': 'After the alert of a detection, a trained CBP agent or user, reviews the image to identify and classify the activity taking place.', 'H': 'a trained CBP agent or user, reviews the image'}","AIS is a named non-AI source, but its filtering role is not explicitly connected to a consequential action; the alert-only role supplies the narrow mechanism.",0.82,S,0
2,policy-burden mapping,DHS-2572,YES,YES,YES,NO,YES,YES,S,"{'P': 'not a principle basis for a decision or action', 'O': 'Only events classified as High Confidence are then sent to users as a detection.', 'W': 'Any further actions taken will be based on what the agents encounter when they arrive on scene.', 'H': 'Users then review the audio of the event to determine the accuracy of the detection'}",,0.96,S,0
2,policy-burden mapping,DHS-2575,YES,UNCLEAR,YES,NO,UNCLEAR,YES,U,"{'P': 'rather than making legally binding or material decisions itself', 'O': 'AI’s outputs serve primarily as inputs to an investigative process', 'W': 'Enforcement decisions and outcomes arise from a full investigative process that includes judicial review and other safeguards', 'H': 'HSI investigators review, validate, and contextualize the AI-generated outputs'}","The rationale never identifies what information the AI output contains, so O cannot be established despite a described investigative safeguard.",0.9,U,0
2,policy-burden mapping,DHS-2578,YES,YES,UNCLEAR,NO,YES,YES,S,"{'P': 'do not serve as a principal basis for decisions or actions with legal, material, binding, or significant effects', 'O': 'outputs are limited to normalized address data', 'W': 'role is limited to data extraction and normalization, rather than serving as a primary basis for enforcement actions', 'H': 'ERO officers review and validate the AI-driven outputs before determining actions'}",The full investigative process and additional verification steps are not specified enough to establish an independent-basis mechanism.,0.94,S,0
2,policy-burden mapping,DHS-2595,YES,YES,YES,NO,YES,YES,S,"{'P': 'outputs do not serve as a ""principal basis"" for decisions or actions with legal, material, binding, or significant effects', 'O': 'providing structured annotations and insights for analysts to review', 'W': 'require human validation and integration with other government data holdings before any enforcement action is taken', 'H': 'human validation'}",,0.98,S,0
2,policy-burden mapping,DHS-2627,YES,YES,NO,YES,YES,YES,S,"{'P': 'do not serve as a principal basis for a decision or action concerning a specific individual or entity that has a legal, material, binding, or similarly significant effect', 'O': 'The AI outputs are suggested aliases and DOBs related to the individual query', 'W': 'Completing such adjudications are not dependent on the use case', 'H': 'USCIS staff must review to accept, reject, or ignore the suggested information'}",,0.97,S,0
2,policy-burden mapping,DHS-2667,YES,YES,UNCLEAR,NO,UNCLEAR,YES,D,"{'P': 'outputs do not serve as a ""principal basis for decisions or actions that have a legal, material, binding, or significant effect on rights or safety.""', 'O': 'generates intelligence reports and risk assessments that are used to support human decision-making', 'W': 'must be validated as part of the investigative process prior to action being taken', 'H': 'Analysts review the outputs and initiate follow-on actions after validating the source data'}","The cited source data and investigative validation are not identified specifically enough to establish an independent basis, while advisory and leads are labels without a clear limiting mechanism.",0.87,D,0
2,policy-burden mapping,DHS-2729,YES,YES,YES,NO,YES,NO,S,"{'P': 'do not serve as the principal basis for a high-impact decision or action', 'O': 'performs a comparative search against other open-source images to identify potential matches', 'W': 'can only be utilized for investigative leads and cannot be utilized as a determining factor for any enforcement action', 'H': ''}",,0.99,S,0
2,policy-burden mapping,DHS-310,YES,YES,NO,NO,NO,NO,U,"{'P': 'not used in requests for federal services, processes, and benefits', 'O': 'the CBP exam vendor uses to detect cheating during the exam', 'W': '', 'H': ''}",The rationale names an excluded consequential domain but provides no mechanism explaining why a cheating detection cannot materially affect an examinee.,0.85,U,0
2,policy-burden mapping,DHS-317,YES,YES,YES,NO,YES,YES,S,"{'P': 'Neither the AI or output of AI serves as a principal basis for a decision or action.', 'O': 'AI-powered vessel registration, aircraft tail number, license plate, and object detection', 'W': 'that information is run through CBP Super Query and if derogatory information is returned or other information from the imagery', 'H': 'Human review takes place prior to any final decision to act'}",,0.96,S,0
2,policy-burden mapping,DHS-35,YES,YES,YES,NO,YES,YES,S,"{'P': 'do not serve as a principal basis for a decision or action concerning a specific individual or entity that has a legal, material, binding, or similarly significant effect', 'O': 'provides alerts when it detects the presence of an IoI', 'W': 'The AI merely alerts to the presence of an item it was trained to detect.', 'H': 'a trained agent or user, reviews the image to identify and classify the activity taking place'}",,0.95,S,0
2,policy-burden mapping,DHS-37,YES,YES,YES,NO,YES,YES,S,"{'P': 'do not serve as a principal basis for a decision or action concerning a specific individual or entity that has a legal, material, binding, or similarly significant effect', 'O': 'provides alerts when it detects the presence of an IoI', 'W': 'The AI merely alerts to the presence of an item it was trained to detect.', 'H': 'a trained agent or user, reviews the image to identify and classify the activity taking place'}",,0.95,S,0
2,policy-burden mapping,DHS-372,YES,YES,NO,NO,YES,NO,S,"{'P': 'is not used to make security-related or employment-related decisions', 'O': 'The collated information supports decisions about staffing priorities', 'W': 'supports decisions about staffing priorities but is not used to make security-related or employment-related decisions', 'H': ''}",,0.92,S,0
2,policy-burden mapping,DHS-38,YES,YES,YES,NO,YES,YES,S,"{'P': 'does not serve as a principal basis for decisions or actions related to the definition of High-Impact AI', 'O': 'When it detects a vessel it sends and image to the cloud for user review', 'W': 'user review and determination if any follow-up action is required', 'H': 'user review and determination if any follow-up action is required'}","The rationale is terse, but it bounds the AI role to vessel detection and transmission of the underlying image for a separate follow-up determination.",0.86,S,0
2,policy-burden mapping,DHS-401,NO,YES,NO,NO,NO,NO,U,"{'P': '', 'O': 'facial recognition technology in Seized Property Vault Activity Automation (SPVAA) to create a log of access', 'W': '', 'H': ''}",The rationale describes the function but provides no rebuttal to a high-impact predicate.,0.98,U,0
2,policy-burden mapping,DHS-407,YES,YES,YES,YES,NO,YES,S,"{'P': ""not the primary basis for a decision or action that would affect the individual's rights or safety"", 'O': 'facial verification for a remote check-in', 'W': 'If that fails, the user can schedule an in-person check-in at their local ERO office.', 'H': 'an officer will manually review the check-in photo against the previously taken photos'}",,0.99,S,0
2,policy-burden mapping,DHS-417,YES,YES,UNCLEAR,NO,YES,YES,S,"{'P': 'do not produce an action or serve as a principal basis for a decision that has the potential to significantly impact the safety of human-life or well-being', 'O': 'detects anomalies or outliers, and also may be used to classify or categorize certain activity', 'W': 'The analyst would then continue to investigate further as during normal threat hunt operations.', 'H': 'The AI outputs are reviewed by a human analyst team'}","Normal threat-hunt investigation is not detailed enough for W-ind, but the output is procedurally limited to identifying patterns that initiate further investigation rather than action.",0.9,S,0
2,policy-burden mapping,DHS-48,YES,YES,YES,NO,YES,YES,S,"{'P': 'do not serve as a principal basis for law enforcement action or decision', 'O': 'investigative insights in the form of data, information leads or connections', 'W': 'combining the AI output with the personnel’s expertise and other relevant investigative data and information', 'H': 'all insights are reviewed and validated by both personnel and supervisors'}",,0.99,S,0
2,policy-burden mapping,DHS-49,YES,UNCLEAR,NO,NO,NO,YES,D,"{'P': 'output serves as a principal basis for a decision or action concerning a specific individual or entity', 'O': 'the output of the AI', 'W': '', 'H': 'no rights impacting action is taken unless a human is in the loop making a further determatination'}","The rationale does not identify the AI output, and ""never the only basis"" does not answer whether it is the principal basis or name an independent basis.",0.98,D,0
2,policy-burden mapping,DHS-56,YES,YES,UNCLEAR,YES,UNCLEAR,YES,S,"{'P': 'do not serve as a principal basis for a decision or action concerning a specific individual or entity that has a legal, material, binding, or similarly significant effect', 'O': 'visualized through a report or dashboard to assist with case review', 'W': 'The adjudication process can be conducted without this tool', 'H': 'Adjudicators review the outputs of this use case, alongside other information and insights, to process a case and make a final determination.'}","Other information and the report's assistive role are too generic to independently establish W-ind or W-nar, but the expressly available tool-free adjudication path establishes W-opt.",0.97,S,0
2,policy-burden mapping,DHS-57,YES,YES,UNCLEAR,YES,NO,YES,S,"{'P': 'do not serve as a principal basis for a decision or action', 'O': 'report or dashboard to assist with case review', 'W': 'The adjudication process can be conducted without this tool', 'H': 'Adjudicators review the outputs of this use case, alongside other information and insights, to process a case and make a final determination.'}","“Other information and insights” does not identify an independent evidentiary basis, but the expressly available tool-free adjudication path qualifies as W-opt.",0.96,S,0
2,policy-burden mapping,DHS-65,YES,UNCLEAR,NO,NO,NO,NO,U,"{'P': 'do not produce an action or serve as a principal basis for a decision', 'O': 'The AI predicts aircraft landing locations.', 'W': '', 'H': ''}","The output is identified, but the rationale does not state how the prediction enters a workflow or why it cannot be a principal basis.",0.98,U,0
2,policy-burden mapping,DHS-81,YES,YES,UNCLEAR,NO,YES,YES,S,"{'P': 'do not serve as a principal basis for a decision or action', 'O': 'used to notify the CBP officer that a passport may require review', 'W': 'This is only one piece of information provided to CBP Officers', 'H': 'The officers would use any results provided to research the validity of the passport through other sources.'}","The alert is bounded to prompting further review, supporting W-nar; “other sources” is too generic to establish W-ind.",0.87,S,0
2,policy-burden mapping,DHS-86,YES,YES,NO,NO,NO,NO,U,"{'P': 'do not produce an action or serve as a principal basis for a decision', 'O': 'If a cargo shipment is identified as high-risk for pest infestation, it is prioritized for inspection.', 'W': '', 'H': ''}",The rationale identifies a risk classification that directly prioritizes inspection but supplies no mechanism answering the principal-basis burden.,0.99,U,0
2,policy-burden mapping,DHS-95,YES,YES,NO,NO,UNCLEAR,NO,U,"{'P': 'the output does not serve as a principal basis for decision or actions', 'O': 'serves as an input to larger AI/ML cargo risk targeting models', 'W': 'Its outputs are not directly shared with users or operators', 'H': ''}","The upstream-input architecture and lack of direct operator access suggest a bound, but the rationale does not explain why downstream targeting cannot principally depend on the output.",0.93,U,0
2,policy-burden mapping,DOE-574,NO,UNCLEAR,NO,NO,NO,NO,U,"{'P': '', 'O': 'integrated into all LANL collaboration and productivity services within M365 including email and Teams', 'W': '', 'H': ''}","The rationale identifies integration contexts but neither a specific AI output nor its workflow role, and it does not address the principal-basis burden.",0.99,U,0
2,policy-burden mapping,DOE-579,NO,NO,NO,NO,NO,NO,U,"{'P': '', 'O': '', 'W': '', 'H': ''}","The subject-area statement does not disclose an AI output, workflow, policy predicate, or limiting mechanism.",1.0,U,0
2,policy-burden mapping,DOE-588,NO,NO,NO,NO,NO,NO,U,"{'P': '', 'O': '', 'W': '', 'H': ''}","Development status and undetermined impact are temporal uncertainty, not an answer to the principal-basis burden.",1.0,U,0
2,policy-burden mapping,DOE-629,NO,NO,NO,NO,NO,NO,U,"{'P': '', 'O': '', 'W': '', 'H': ''}","Development status and undetermined impact are temporal uncertainty, not an answer to the principal-basis burden.",1.0,U,0
2,policy-burden mapping,DOE-713,NO,NO,NO,NO,NO,NO,U,"{'P': '', 'O': '', 'W': '', 'H': ''}","Development status and undetermined impact are temporal uncertainty, not an answer to the principal-basis burden.",1.0,U,0
2,policy-burden mapping,DOJ-0009,YES,NO,NO,NO,NO,NO,U,"{'P': 'serves as a principal basis for decisions or actions with legal, material, binding, or significant effect', 'O': '', 'W': '', 'H': ''}","The rationale states the policy conclusion but does not identify the output, workflow, or mechanism supporting it.",1.0,U,0
2,policy-burden mapping,DOJ-0014,YES,NO,NO,NO,NO,NO,U,"{'P': 'serves as a principal basis for decisions or actions with legal, material, binding, or significant effect', 'O': '', 'W': '', 'H': ''}","The rationale states the policy conclusion but does not identify the output, workflow, or mechanism supporting it.",1.0,U,0
2,policy-burden mapping,DOJ-0019,YES,NO,NO,NO,NO,NO,U,"{'P': 'serves as a principal basis for decisions or actions with legal, material, binding, or significant effect', 'O': '', 'W': '', 'H': ''}","The rationale states the policy conclusion but does not identify the output, workflow, or mechanism supporting it.",1.0,U,0
2,policy-burden mapping,DOJ-0021,YES,NO,NO,NO,NO,NO,U,"{'P': 'serves as a principal basis for decisions or actions with legal, material, binding, or significant effect', 'O': '', 'W': '', 'H': ''}","The rationale states the policy conclusion but does not identify the output, workflow, or mechanism supporting it.",1.0,U,0
2,policy-burden mapping,DOJ-0022,YES,NO,NO,NO,NO,NO,U,"{'P': 'serves as a principal basis for decisions or actions with legal, material, binding, or significant effect', 'O': '', 'W': '', 'H': ''}","The rationale states the policy conclusion but does not identify the output, workflow, or mechanism supporting it.",1.0,U,0
2,policy-burden mapping,DOJ-0029,YES,NO,NO,NO,NO,NO,U,"{'P': 'serves as a principal basis for decisions or actions with legal, material, binding, or significant effect', 'O': '', 'W': '', 'H': ''}","The rationale states the policy conclusion but does not identify the output, workflow, or mechanism supporting it.",1.0,U,0
2,policy-burden mapping,DOJ-0030,YES,NO,NO,NO,NO,NO,U,"{'P': 'serves as a principal basis for decisions or actions with legal, material, binding, or significant effect', 'O': '', 'W': '', 'H': ''}","The rationale states the policy conclusion but does not identify the output, workflow, or mechanism supporting it.",1.0,U,0
2,policy-burden mapping,DOJ-0031,YES,NO,NO,NO,NO,NO,U,"{'P': 'serves as a principal basis for decisions or actions with legal, material, binding, or significant effect', 'O': '', 'W': '', 'H': ''}","The rationale states the policy conclusion but does not identify the output, workflow, or mechanism supporting it.",1.0,U,0
2,policy-burden mapping,DOJ-0032,YES,NO,NO,NO,NO,NO,U,"{'P': 'serves as a principal basis for decisions or actions with legal, material, binding, or significant effect', 'O': '', 'W': '', 'H': ''}","The rationale states the policy conclusion but does not identify the output, workflow, or mechanism supporting it.",1.0,U,0
2,policy-burden mapping,DOJ-0033,YES,NO,NO,NO,NO,NO,U,"{'P': 'serves as a principal basis for decisions or actions with legal, material, binding, or significant effect', 'O': '', 'W': '', 'H': ''}","The rationale states the policy conclusion but does not identify the output, workflow, or mechanism supporting it.",1.0,U,0
2,policy-burden mapping,DOJ-0040,YES,NO,NO,NO,NO,NO,U,"{'P': 'serves as a principal basis for decisions or actions with legal, material, binding, or significant effect', 'O': '', 'W': '', 'H': ''}","The rationale states the policy conclusion but does not identify the output, workflow, or mechanism supporting it; pre-deployment status does not supply W.",1.0,U,0
2,policy-burden mapping,DOJ-0041,YES,NO,NO,NO,NO,NO,U,"{'P': 'serves as a principal basis for decisions or actions with legal, material, binding, or significant effect', 'O': '', 'W': '', 'H': ''}","The rationale states the policy conclusion but does not identify the output, workflow, or mechanism supporting it; pre-deployment status does not supply W.",1.0,U,0
2,policy-burden mapping,DOJ-0042,YES,NO,NO,NO,NO,NO,U,"{'P': 'principal basis for decisions or actions with legal, material, binding, or significant effect', 'O': 'an output', 'W': '', 'H': ''}","The rationale states the policy conclusion but does not identify the output, workflow, or limiting mechanism.",0.99,U,0
2,policy-burden mapping,DOJ-0043,YES,NO,NO,NO,NO,NO,U,"{'P': 'principal basis for decisions or actions with legal, material, binding, or significant effect', 'O': 'an output', 'W': '', 'H': ''}","The rationale states the policy conclusion but does not identify the output, workflow, or limiting mechanism.",0.99,U,0
2,policy-burden mapping,DOJ-0044,YES,NO,NO,NO,NO,NO,U,"{'P': 'principal basis for decisions or actions with legal, material, binding, or significant effect', 'O': 'an output', 'W': '', 'H': ''}","The rationale states the policy conclusion but does not identify the output, workflow, or limiting mechanism.",0.99,U,0
2,policy-burden mapping,DOJ-0072,YES,NO,NO,NO,NO,NO,U,"{'P': 'principal basis for decisions or actions with legal, material, binding, or significant effect', 'O': 'an output', 'W': '', 'H': ''}","The rationale states the policy conclusion but does not identify the output, workflow, or limiting mechanism.",0.99,U,0
2,policy-burden mapping,DOJ-0073,YES,NO,NO,NO,NO,NO,U,"{'P': 'principal basis for decisions or actions with legal, material, binding, or significant effect', 'O': 'an output', 'W': '', 'H': ''}","The rationale states the policy conclusion but does not identify the output, workflow, or limiting mechanism.",0.99,U,0
2,policy-burden mapping,DOJ-0102,YES,NO,NO,NO,NO,NO,U,"{'P': 'principal basis for decisions or actions with legal, material, binding, or significant effect', 'O': 'an output', 'W': '', 'H': ''}","The rationale states the policy conclusion but does not identify the output, workflow, or limiting mechanism.",0.99,U,0
2,policy-burden mapping,DOJ-0153,YES,NO,NO,NO,NO,NO,U,"{'P': 'principal basis for decisions or actions with legal, material, binding, or significant effect', 'O': 'an output', 'W': '', 'H': ''}","The rationale states the policy conclusion but does not identify the output, workflow, or limiting mechanism.",0.99,U,0
2,policy-burden mapping,DOJ-0220,YES,NO,NO,NO,NO,NO,U,"{'P': 'principal basis for decisions or actions with legal, material, binding, or significant effect', 'O': 'an output', 'W': '', 'H': ''}","The rationale states the policy conclusion but does not identify the output, workflow, or limiting mechanism.",0.99,U,0
2,policy-burden mapping,DOJ-0221,YES,NO,NO,NO,NO,NO,U,"{'P': 'principal basis for decisions or actions with legal, material, binding, or significant effect', 'O': 'an output', 'W': '', 'H': ''}","The rationale states the policy conclusion but does not identify the output, workflow, or limiting mechanism.",0.99,U,0
2,policy-burden mapping,DOJ-0235,YES,NO,NO,NO,NO,NO,U,"{'P': 'principal basis for decisions or actions with legal, material, binding, or significant effect', 'O': 'an output', 'W': '', 'H': ''}","The rationale states the policy conclusion but does not identify the output, workflow, or limiting mechanism.",0.99,U,0
2,policy-burden mapping,DOJ-0239,YES,NO,NO,NO,NO,NO,U,"{'P': 'principal basis for decisions or actions with legal, material, binding, or significant effect', 'O': 'an output', 'W': '', 'H': ''}","The rationale states the policy conclusion but does not identify the output, workflow, or limiting mechanism.",0.99,U,0
2,policy-burden mapping,DOJ-0265,YES,NO,NO,NO,NO,NO,U,"{'P': 'principal basis for decisions or actions with legal, material, binding, or significant effect', 'O': 'an output', 'W': '', 'H': ''}","The rationale states the policy conclusion but does not identify the output, workflow, or limiting mechanism.",0.99,U,0
2,policy-burden mapping,DOJ-0271,YES,NO,NO,NO,NO,NO,U,"{'P': 'principal basis for decisions or actions with legal, material, binding, or significant effect', 'O': 'an output', 'W': '', 'H': ''}","The rationale states the policy conclusion but does not identify the output, workflow, or limiting mechanism.",0.99,U,0
2,policy-burden mapping,DOJ-0315,YES,NO,NO,NO,NO,NO,U,"{'P': 'principal basis for decisions or actions with legal, material, binding, or significant effect', 'O': 'an output', 'W': '', 'H': ''}","The rationale states the policy conclusion but does not identify the output, workflow, or limiting mechanism.",0.99,U,0
2,policy-burden mapping,DOJ-0326,YES,NO,NO,NO,NO,NO,U,"{'P': 'principal basis for decisions or actions with legal, material, binding, or significant effect', 'O': 'an output', 'W': '', 'H': ''}","The rationale states the policy conclusion but does not identify the output, workflow, or limiting mechanism.",0.99,U,0
2,policy-burden mapping,DOJ-0332,YES,NO,NO,NO,NO,NO,U,"{'P': 'principal basis for decisions or actions with legal, material, binding, or significant effect', 'O': 'an output', 'W': '', 'H': ''}","The rationale states the policy conclusion but does not identify the output, workflow, or limiting mechanism.",0.99,U,0
2,policy-burden mapping,DOJ-0357-R01,YES,NO,NO,NO,NO,NO,U,"{'P': 'principal basis for decisions or actions with legal, material, binding, or significant effect', 'O': 'an output', 'W': '', 'H': ''}","The rationale states the policy conclusion but does not identify the output, workflow, or limiting mechanism.",0.99,U,0
2,policy-burden mapping,DOJ-0357-R02,YES,NO,NO,NO,NO,NO,U,"{'P': 'principal basis for decisions or actions with legal, material, binding, or significant effect', 'O': 'an output', 'W': '', 'H': ''}","The rationale states the policy conclusion but does not identify the output, workflow, or limiting mechanism.",0.99,U,0
2,policy-burden mapping,DOJ-0362,YES,NO,NO,NO,NO,NO,U,"{'P': 'principal basis for decisions or actions with legal, material, binding, or significant effect', 'O': 'an output', 'W': '', 'H': ''}","The rationale states the policy conclusion but does not identify the output, workflow, or limiting mechanism.",0.99,U,0
2,policy-burden mapping,DOJ-0363,YES,NO,NO,NO,NO,NO,U,"{'P': 'principal basis for decisions or actions with legal, material, binding, or significant effect', 'O': 'an output', 'W': '', 'H': ''}","The rationale states the policy conclusion but does not identify the output, workflow, or limiting mechanism.",0.99,U,0
2,policy-burden mapping,46,NO,NO,NO,NO,NO,NO,U,"{'P': '', 'O': '', 'W': '', 'H': ''}",No rationale was disclosed.,1.0,U,0
2,policy-burden mapping,MISSING-6FB970D7652E,YES,YES,NO,NO,NO,NO,U,"{'P': 'principal basis for decisions or actions with legal, material, binding, or significant effect', 'O': 'extracting key data points from scanned notices', 'W': '', 'H': ''}","The extraction description bounds the task, but the rationale does not explain why that bound prevents principal-basis use.",0.95,U,0
2,policy-burden mapping,MISSING-404BD6C1AE03,YES,YES,NO,NO,YES,NO,S,"{'P': 'do not serve as a principal basis for decisions or actions with legal, material, binding, or significant effect', 'O': 'extracting key data points from unstructured narratives and validating data completeness', 'W': 'The use of AI is narrowly focused on extracting key data points', 'H': ''}",,0.96,S,0
2,policy-burden mapping,MISSING-2045216ACC4E,YES,YES,UNCLEAR,NO,NO,YES,D,"{'P': 'does not serve as the basis for decisions or actions that affect civil rights, liberties, privacy, critical resources, safety, or strategic assets', 'O': 'findings are shared with the agency divisions in the form of different reports and tables', 'W': 'in tandem with other data', 'H': 'CMS makes all determinations on actions.'}",The rationale constrains reliance on the findings but identifies the independent basis only generically as other data.,0.94,D,0
2,policy-burden mapping,MISSING-F55AC1E5A2AD,YES,YES,UNCLEAR,NO,NO,YES,D,"{'P': 'does not serve as the basis for decisions or actions that affect civil rights, liberties, privacy, critical resources, safety, or strategic assets', 'O': 'findings are shared with the agency divisions in the form of reports and tables', 'W': 'in combination with additional information derived outside of this AI tool', 'H': 'CMS makes all determinations on actions.'}","Information outside the tool is asserted, but its source, procedure, and constraining role are insufficiently specified.",0.91,D,0
2,policy-burden mapping,MISSING-7DF6162305FD,YES,UNCLEAR,NO,NO,NO,NO,U,"{'P': 'does not involve operational use, decision-making, or direct impact on the public or regulated entities', 'O': 'inform future regulatory readiness', 'W': '', 'H': ''}",The disclosed defense is research-stage and non-operational; it does not identify an asserted AI output and limiting mechanism.,0.93,U,0
2,policy-burden mapping,MISSING-E9650DD065E1,YES,YES,NO,NO,NO,NO,U,"{'P': 'would not be considered to have a significant effect on human health and safety', 'O': 'detects the motion of an individual scratching', 'W': '', 'H': ''}",The rationale denies a significant health-and-safety effect but does not explain a mechanism preventing the detection from principally supporting a consequential action.,0.9,U,0
2,policy-burden mapping,MISSING-18A285367578,YES,YES,NO,NO,NO,YES,D,"{'P': 'FOIA compliance decisions', 'O': 'It operates as a recommendation system only', 'W': '', 'H': 'mandatory human review and approval required for all outputs'}",Recommendation-only language supplies no operational limitation independent of the mandatory human approval rationale.,0.95,D,0
2,policy-burden mapping,MISSING-AB553836F519,NO,YES,NO,NO,NO,YES,D,"{'P': '', 'O': 'AI is used to filter relevant video', 'W': '', 'H': 'decisions/actions are performed by humans'}","Human verification does not identify an independent evidentiary basis, and no policy predicate is stated.",0.96,D,0
2,policy-burden mapping,MISSING-4B41CCE5A80E,NO,YES,NO,NO,NO,NO,U,"{'P': '', 'O': 'automate label extraction (identification of label information) for regulatory compliance', 'W': '', 'H': ''}",The rationale describes the output and purpose but does not answer the principal-basis burden.,0.98,U,0
2,policy-burden mapping,MISSING-94D0D1898672,NO,UNCLEAR,NO,NO,NO,YES,D,"{'P': '', 'O': 'providing additional information that helps them make faster decisions and prioritize applications for review', 'W': '', 'H': 'every referral decision undergoes 100% human review'}","The informational role is described, but the specific information supplied is not identified; the negative determination relies on universal human review.",0.92,D,0
2,policy-burden mapping,MISSING-91EA622F8902,YES,YES,NO,NO,NO,YES,D,"{'P': 'does not drive any agency decision', 'O': 'a recommendation to assign a grant application to the appropriate Agency staff', 'W': '', 'H': 'can accept, reject, or reassign the application based on their expertise'}",Staff expertise and override authority establish discretion but do not specify independent evidence or an alternative path avoiding the recommendation.,0.94,D,0
2,policy-burden mapping,MISSING-8A490802AE57,NO,UNCLEAR,NO,NO,NO,YES,D,"{'P': '', 'O': 'providing additional information that helps them make faster decisions and prioritize applications for review', 'W': '', 'H': 'every referral decision undergoes 100% human review'}","The informational role is described, but the specific information supplied is not identified; the negative determination relies on universal human review.",0.92,D,0
2,policy-burden mapping,MISSING-C38B75F17C3C,YES,YES,YES,NO,YES,YES,S,"{'P': 'not a principal basis for any legal or binding decision', 'O': 'non-binding recommendations regarding which NIGMS program officer is most appropriate to manage an incoming grant application, along with two alternative suggestions', 'W': 'all funding and programmatic decisions are made through established peer review and programmatic processes', 'H': 'they have full discretion to ignore or override the AI tool’s recommendations'}",,0.99,S,0
2,policy-burden mapping,NASA-234,YES,NO,NO,NO,UNCLEAR,NO,U,"{'P': 'Mars Rover cannot harm humans or impact rights.', 'O': '', 'W': 'Low-speed engagements with terrain features on Mars', 'H': ''}","The operational setting is bounded, but the AI output and its relationship to any consequential action are not disclosed.",0.92,U,0
2,policy-burden mapping,NASA-398,UNCLEAR,YES,NO,NO,NO,NO,U,"{'P': 'to avoid privacy issues', 'O': 'The people are counted and their images immediately deleted', 'W': '', 'H': ''}",Immediate deletion addresses data retention but does not answer whether an AI output principally supports a consequential decision or action.,0.94,U,0
