model,id,dataset,valid,status,comparator_status,agreement,ambiguity,P,O,W_ind,W_opt,W_nar,H
gpt-5.4-2026-03-05,SYN-J06,synthetic,True,D,D,1,"Identifies an output ('recommendation') and staff review before use, but does not state the denied high-impact predicate or any qualifying non-AI, alternative, or narrowness mechanism; the rationale rests on human review.",NO,YES,NO,NO,NO,YES
gpt-5.4-2026-03-05,SYN-J04,synthetic,True,U,U,1,"The rationale identifies an output but not how it is used in a workflow. The privacy-office review appears to concern data handling governance, not an independent basis, non-AI alternative, narrow operational limit, or human decision review tied to consequential action.",NO,UNCLEAR,NO,NO,NO,NO
gpt-5.4-2026-03-05,SYN-J03,synthetic,True,D,D,1,"The rationale mentions a model and caseworker review, but does not identify the model’s output, how it enters the workflow, or the specific high-impact predicate being denied. The dataset-quality statement is not a qualifying W mechanism.",NO,UNCLEAR,NO,NO,NO,YES
gpt-5.4-2026-03-05,SYN-J10,synthetic,True,U,U,1,"Identifies an output, but not how it enters a workflow; no denied high-impact predicate or limiting mechanism is stated.",NO,UNCLEAR,NO,NO,NO,NO
gpt-5.4-2026-03-05,SYN-J08,synthetic,True,S,S,1,None.,YES,YES,YES,NO,NO,NO
gpt-5.4-2026-03-05,SYN-J09,synthetic,True,U,U,1,"Generic conclusory denial of the presumption only; it does not identify the denied high-impact predicate, any AI output/use, or any rebuttal mechanism.",NO,NO,NO,NO,NO,NO
gpt-5.4-2026-03-05,EXT-4821c27789,external,True,D,D,1,"Human approval is the stated reason, but no independent non-AI evidence source, non-AI path, or narrow limiting mechanism is identified.",YES,YES,NO,NO,NO,YES
gpt-5.4-2026-03-05,EXT-a373f019cd,external,True,S,S,1,H is present but largely embedded within the independent-basis explanation; this does not change status.,YES,YES,YES,NO,NO,YES
gpt-5.4-2026-03-05,EXT-6877435c0d,external,True,S,S,1,Low ambiguity: the rationale clearly describes aggregate-only output and links that operational limit to the absence of individual employment decisions.,YES,YES,NO,NO,YES,NO
gpt-5.4-2026-03-05,EXT-fb680b3746,external,True,D,D,1,"The bounded output is a draft for a hiring announcement, but the rationale gives human review/approval—not the bounded role itself—as the stated reason the AI is not a principal basis.",YES,YES,NO,NO,NO,YES
gpt-5.4-2026-03-05,EXT-296eaedbb0,external,True,D,D,1,"The output is narrow ('missing-document checklist'), but the rationale does not explain that this bound itself prevents principal-basis use; the stated reason is human review/approval.",YES,YES,NO,NO,NO,YES
gpt-5.4-2026-03-05,EXT-7ac645fe8c,external,True,S,S,1,"Human verification is presented as an independent-basis mechanism rather than a standalone human-review warrant; W-nar is also supported by 'cannot approve, delay, or reject,' so status remains S either way.",YES,YES,YES,NO,YES,NO
gpt-5.4-2026-03-05,EXT-8d16ad31d3,external,True,D,D,1,"The output is narrowly described as statistics, but the rationale does not state that this technical bound itself prevents principal-basis use; the stated reason is human review/approval only.",YES,YES,NO,NO,NO,YES
gpt-5.4-2026-03-05,R-06,repeat,True,U,U,1,"The rationale identifies where the system is integrated, which suggests workflow context, but it does not state what AI output it provides or any policy-threshold rebuttal mechanism.",NO,UNCLEAR,NO,NO,NO,NO
gpt-5.4-2026-03-05,EXT-bcfa6896aa,external,True,S,S,1,W-opt overlaps with W-ind here; the rationale clearly supports an independent documentary basis and can also be read as an available non-AI decision path. Status unchanged.,YES,YES,YES,YES,NO,YES
gpt-5.4-2026-03-05,R-04,repeat,True,U,U,1,"The rationale clearly denies the high-impact predicate, but it does not identify the specific output type or how it enters a workflow. It also gives no independent basis, non-AI alternative, narrow operational mechanism, or human-review warrant.",YES,UNCLEAR,NO,NO,NO,NO
gpt-5.4-2026-03-05,R-01,repeat,True,S,U,0,"Possible tension between 'staffing priorities' and 'employment-related decisions,' but the rationale expressly distinguishes them.",YES,YES,NO,NO,YES,NO
gpt-5.4-2026-03-05,R-02,repeat,True,S,U,0,"W-nar is somewhat implicit: the rationale links a bounded output (detecting scratching) to lack of significant health and safety effect, but does not expressly discuss a consequential decision.",YES,YES,NO,NO,YES,NO
gpt-5.4-2026-03-05,R-08,repeat,True,U,U,1,"The rationale describes outputs, but says it is ""not yet live in production"" and that they still ""need to determine how exactly the extracted information will be used for operations,"" so workflow/use and any rebuttal to the high-impact predicate are not publicly established. The review language is future/administrative rather than a load-bearing human-oversight basis.",NO,UNCLEAR,NO,NO,NO,NO
gpt-5.4-2026-03-05,R-03,repeat,True,S,S,1,"Human review of the image could suggest an independent-basis mechanism, but the rationale does not clearly tie that review to any consequential action; the clearer support is the narrow alert-only, non-identifying function.",YES,YES,UNCLEAR,NO,YES,YES
gpt-5.4-2026-03-05,R-05,repeat,True,D,S,0,"Reasonable reading 1: the knowledge graph is a bounded investigative lead that must undergo separate source validation, which could support S. Reasonable reading 2: 'human-led investigation' and 'source validation through separate processes' are too generic to establish a qualifying W mechanism, leaving only human oversight and pointing to D. Because these readings yield different statuses, code U.",YES,YES,UNCLEAR,NO,UNCLEAR,YES
gpt-5.4-2026-03-05,R-09,repeat,True,S,S,1,W-ind is supported by the stated 'full Federal Investigation Process' and 'verifying any insights as evidence'; the separate 'reviewed and validated' clause alone would otherwise point only to H.,YES,YES,YES,NO,NO,YES
gpt-5.4-2026-03-05,R-07,repeat,True,D,D,1,"The rationale clearly gives human oversight as a reason, but 'filter relevant video' could also be read as a bounded output that, together with human verification, limits AI to a narrow operational role. Because that link to the denied high-impact threshold is not explicit, W_nar is UNCLEAR; this creates a plausible D vs U split, so code U.",NO,YES,NO,NO,UNCLEAR,YES
gpt-5.4-2026-03-05,R-10,repeat,True,D,S,0,"CBP Super Query results and imagery cues may suggest an independent non-AI basis for field response, but the rationale does not clearly state that those sources, rather than the AI output, constrain the action; human review is also offered as a reason.",YES,YES,UNCLEAR,NO,NO,YES
gpt-5.4-mini-2026-03-17,T-e3b0c44298fc,inventory,True,U,U,1,Empty rationale; no support for any component.,UNCLEAR,UNCLEAR,UNCLEAR,UNCLEAR,UNCLEAR,UNCLEAR
gpt-5.4-mini-2026-03-17,T-4c341bf155e4,inventory,True,D,D,1,"No policy predicate is stated; the only limiting reason is human verification/decision-making, which supports D under the codebook.",NO,YES,NO,NO,NO,YES
gpt-5.4-mini-2026-03-17,T-bf30867b6bf4,inventory,True,D,D,1,"Human review is explicit, but no independent non-AI basis, non-AI alternative, or bounded mechanism is stated; 'final decisions' is too generic to serve as the policy predicate.",NO,YES,NO,NO,NO,YES
gpt-5.4-mini-2026-03-17,T-2ca831780599,inventory,True,U,U,1,"P is explicit; O is minimally stated through 'AI's output' and 'decision or activity pipelines'; no qualifying W mechanism is disclosed, so the record remains unresolved.",YES,YES,NO,NO,NO,NO
gpt-5.4-mini-2026-03-17,T-8e7ddb102390,inventory,True,D,D,1,P is borderline because the rationale names the consequential action but not an explicit principal-basis or rights/safety predicate; D still follows from load-bearing human review with no qualifying W mechanism.,YES,YES,NO,NO,NO,YES
gpt-5.4-mini-2026-03-17,T-e2b1ee3e9028,inventory,True,D,D,1,P is borderline; treated as YES because the rationale names a consequential action ('does not approve contracts'). W_ind remains NO because 'multiple information sources' is too generic.,YES,YES,NO,NO,NO,YES
gpt-5.4-mini-2026-03-17,T-00202881d718,inventory,True,S,U,0,"W_nar is somewhat borderline because the limiting role is supported mainly by human/judicial review, but the outputs are explicitly described as inputs to an investigative process.",YES,YES,NO,NO,YES,YES
gpt-5.4-mini-2026-03-17,T-04dfa13cd155,inventory,True,U,U,1,"States the denied high-impact threshold, but only refers to a generic 'output' and gives no load-bearing description of the AI output or any qualifying mechanism.",YES,NO,NO,NO,NO,NO
gpt-5.4-mini-2026-03-17,T-f6d1903d8370,inventory,True,U,U,1,"Informational-only language is present, but no qualifying non-AI mechanism or human-review warrant is stated; the crew mention is only a recipient/use description.",NO,YES,NO,NO,NO,NO
gpt-5.4-mini-2026-03-17,T-41cbe51c871e,inventory,True,S,U,0,"W_nar is borderline because 'source validation through separate processes' is generic and the source is unspecified, but the passage still states a bounded output with a limiting role.",YES,YES,NO,NO,YES,YES
gpt-5.4-mini-2026-03-17,T-d39c21ea4512,inventory,True,D,D,1,"W_ind is borderline because the rationale mentions secondary inspection and officer review, but it does not clearly state an independent non-AI basis separate from the AI detections.",YES,YES,NO,NO,NO,YES
gpt-5.4-mini-2026-03-17,T-4e2df62dcd71,inventory,True,U,U,1,"Human image review can be read as an independent non-AI basis, but the rationale still lacks any policy predicate tied to high-impact status.",NO,YES,YES,NO,NO,YES
gpt-5.4-mini-2026-03-17,T-73364a2de99d,inventory,True,U,U,1,"Only a temporal/development-stage statement appears; no policy predicate, AI output/use, or qualifying mechanism is disclosed.",NO,NO,NO,NO,NO,NO
gpt-5.4-mini-2026-03-17,T-79b6c7760b49,inventory,True,U,U,1,"Rights/safety language supports P, but no AI output, workflow use, or limiting mechanism is stated.",YES,NO,NO,NO,NO,NO
gpt-5.4-mini-2026-03-17,T-037d2edc22d0,inventory,True,S,S,1,"W-nar is borderline from 'only one option for check-in,' but W-ind and W-opt are explicit, so status is S.",YES,YES,YES,YES,NO,NO
gpt-5.4-mini-2026-03-17,T-f49fc88319d0,inventory,True,S,D,0,P is inferred from FOIA/redaction decisions as the consequential predicate; W_nar and H overlap on the same human-approval language.,YES,YES,NO,NO,YES,YES
gpt-5.4-mini-2026-03-17,T-12ed683e528f,inventory,True,U,U,1,"Research/non-operational framing looks like a temporal defense, not a qualifying W mechanism. AI output/workflow is only implicit in 'drafting procurement documents'.",YES,YES,NO,NO,NO,NO
gpt-5.4-mini-2026-03-17,T-88c2703d4c0f,inventory,True,S,S,1,"Minor component-level ambiguity on whether W_ind/W_opt/W_nar are each separately satisfied, but the rationale clearly supports at least one W mechanism and thus S.",YES,YES,YES,YES,YES,YES
gpt-5.4-mini-2026-03-17,T-06fac8b35612,inventory,True,U,U,1,"Output is identifiable, but no high-impact predicate or qualifying mechanism is disclosed; the rationale is only a narrow task description.",NO,YES,NO,NO,NO,NO
gpt-5.4-mini-2026-03-17,T-282ad145c93c,inventory,True,S,S,1,"W-nar is the clearest support. The rationale names sensors and user investigation, but not a clearly separate non-AI path, so W-ind is UNCLEAR rather than affirmed.",YES,YES,UNCLEAR,NO,YES,NO
gpt-5.4-mini-2026-03-17,T-c503d2fbb79b,inventory,True,U,U,1,"P is explicit, but O does not specify the AI output type or a sufficiently concrete workflow role; no independent non-AI basis, alternative path, or narrow mechanism is stated.",YES,UNCLEAR,NO,NO,NO,NO
gpt-5.4-mini-2026-03-17,T-c961f5774051,inventory,True,S,S,1,"Minor: 'aerial imagery analysis' could be read as review rather than a distinct non-AI source, but the rationale still states humans are the principal basis.",YES,YES,YES,NO,NO,YES
gpt-5.4-mini-2026-03-17,T-1d482d39ec2c,inventory,True,U,U,1,"Rationale states a general non-high-impact exclusion and identifies AI outputs, but gives no independent non-AI basis, no alternative non-AI path, no narrow-output mechanism, and no human-review warrant.",YES,YES,NO,NO,NO,NO
gpt-5.4-mini-2026-03-17,T-4ae31d537142,inventory,True,S,S,1,"W_ind is explicit. W_opt and W_nar are borderline because the rationale implies manual adjudication and a bounded output, but it does not separately frame a non-AI alternative or a narrow-mechanism limit beyond human review.",YES,YES,YES,UNCLEAR,UNCLEAR,YES
gpt-5.4-mini-2026-03-17,T-61fb7c4ffc61,inventory,True,U,U,1,"The rationale names an AI classification used to prioritize inspection, but it does not state any independent non-AI basis, non-AI alternative path, narrow limiting mechanism, or human-review warrant.",YES,YES,NO,NO,NO,NO
gpt-5.4-mini-2026-03-17,T-8c856430c4bd,inventory,True,S,U,0,W-nar is the only close call; coded YES because the rationale limits the output to public information and expressly says it is not a principal basis for a decision.,YES,YES,NO,NO,YES,NO
gpt-5.4-mini-2026-03-17,T-ba14dc894672,inventory,True,D,D,1,"H is borderline because the human review is described as part of the workflow rather than explicitly as the sole reason the AI output is not the principal basis; however, no W mechanism is stated.",YES,YES,NO,NO,NO,YES
gpt-5.4-mini-2026-03-17,T-3e96a1b29c22,inventory,True,S,S,1,W_nar is the only borderline call; no separate non-AI basis or non-AI alternative is stated.,YES,YES,NO,NO,YES,NO
gpt-5.4-mini-2026-03-17,T-3e0e2944b563,inventory,True,U,U,1,"Negated principal-basis language is disclosed, but no independent non-AI basis, alternative path, or narrow limiting mechanism is stated.",YES,YES,NO,NO,NO,NO
gpt-5.4-mini-2026-03-17,T-7c48cabab497,inventory,True,S,S,1,"W_ind and H overlap because the human review is of the same image input; still, the rationale explicitly says the AI alert is not the principal basis.",YES,YES,YES,NO,YES,YES
gpt-5.4-mini-2026-03-17,T-a3d7df36b0ea,inventory,True,S,U,0,W_ind is not fully explicit because the rationale relies on human review of the same image rather than a clearly independent non-AI source; W_nar is the cleaner fit.,YES,YES,UNCLEAR,NO,YES,YES
gpt-5.4-mini-2026-03-17,T-61f1972a9861,inventory,True,D,U,0,"No qualifying W mechanism is stated; 'other sources' is generic, so the rationale relies on human/officer review and supplementary research rather than a visible non-AI basis.",YES,YES,NO,UNCLEAR,NO,YES
gpt-5.4-mini-2026-03-17,T-70e1806a4255,inventory,True,S,U,0,"W_ind is borderline because the AIS filter and human review are described, but the rationale also relies on a generic non-principal-basis sentence.",YES,YES,YES,NO,NO,YES
gpt-5.4-mini-2026-03-17,T-f59a322b4b96,inventory,True,D,S,0,Human review is explicit and load-bearing; no independent non-AI basis or non-AI alternative is stated.,YES,YES,NO,NO,NO,YES
gpt-5.4-mini-2026-03-17,T-e12f01074a7f,inventory,True,S,S,1,,YES,YES,YES,NO,YES,NO
gpt-5.4-mini-2026-03-17,T-1a8b3a877c1f,inventory,True,S,S,1,W_nar is borderline because the rationale also leans on human review; coded YES because the output is tightly bounded to redactions and framed as non-decisional.,YES,YES,NO,NO,YES,YES
gpt-5.4-mini-2026-03-17,T-b99b7f9db3af,inventory,True,S,S,1,"W-nar is borderline; the rationale narrows the output to staffing-priority support and excludes security/employment decisions, but the limiting mechanism is only implicit.",YES,YES,NO,NO,YES,NO
gpt-5.4-mini-2026-03-17,T-e32d814335cd,inventory,True,D,D,1,The phrase 'can be used in combination with additional information derived outside of this AI tool' is too generic to qualify as an independent-basis or alternative-path mechanism; it supports only human decision-making.,YES,YES,NO,NO,NO,YES
gpt-5.4-mini-2026-03-17,T-1425969ae25c,inventory,True,U,U,1,"The rationale states an AI output and a compliance use, but it does not identify a denied high-impact predicate or any qualifying non-AI basis/mechanism. 'Reducing manual effort' hints at a possible manual path, but not enough to code W_opt YES.",NO,YES,NO,UNCLEAR,NO,NO
gpt-5.4-mini-2026-03-17,T-3e441efceab0,inventory,True,U,U,1,"States integration into M365 services, but no explicit AI output type or denied high-impact predicate; no non-AI basis or human-review mechanism is stated.",NO,UNCLEAR,NO,NO,NO,NO
gpt-5.4-mini-2026-03-17,T-79fa6bfbdf44,inventory,True,D,D,1,"Human discretion is explicit and load-bearing. The only non-AI references ('other data', 'reports and tables') are too generic for W-ind/W-nar under the codebook, and no non-AI alternative path is stated.",YES,YES,NO,NO,NO,YES
gpt-5.4-mini-2026-03-17,T-cfd1afe05c68,inventory,True,D,D,1,"Human review is load-bearing, but no independent non-AI basis, non-AI alternative, or narrow mechanism is stated; 'never the only basis' is not enough for W.",YES,YES,NO,NO,NO,YES
gpt-5.4-mini-2026-03-17,T-1b5a55fb5f11,inventory,True,U,U,1,"The rationale says the output is an input and not a principal basis, but it does not state any qualifying non-AI basis, alternative path, or bounded mechanism that would make the rebuttal minimally intelligible.",YES,YES,NO,NO,NO,NO
gpt-5.4-mini-2026-03-17,T-35f898647486,inventory,True,D,U,0,"Human review/discretion is stated, but no independent non-AI basis or alternative path is identified; the negation is explicit enough for P/O but not a W mechanism.",YES,YES,NO,NO,NO,YES
gpt-5.4-mini-2026-03-17,T-527ae4bd3d6a,inventory,True,U,U,1,"Clear predicate and AI-output description, but no qualifying non-AI mechanism or human-review basis is stated.",YES,YES,NO,NO,NO,NO
gpt-5.4-mini-2026-03-17,T-c8716646c61f,inventory,True,D,D,1,P is generic rather than a clear high-impact predicate; no independent non-AI basis or alternative path is stated.,UNCLEAR,YES,NO,NO,NO,YES
gpt-5.4-mini-2026-03-17,T-cd6ef69cc9cc,inventory,True,D,D,1,P is only implicit via grant referral decisions; no explicit high-impact predicate (rights/safety/material effect) is stated.,NO,YES,NO,NO,NO,YES
gpt-5.4-mini-2026-03-17,T-4b55610f4130,inventory,True,S,S,1,"Human review is mentioned, but the record also states a non-AI adjudication path; status is S on W_opt.",YES,YES,NO,YES,NO,YES
gpt-5.4-mini-2026-03-17,T-7530fa9894b4,inventory,True,S,U,0,,YES,YES,NO,NO,YES,NO
gpt-5.4-mini-2026-03-17,T-247d9ff961dd,inventory,True,U,U,1,"The rationale states counting and deletion, but it does not identify any denied high-impact predicate or explain how the count is used in a workflow.",NO,UNCLEAR,NO,NO,NO,NO
gpt-5.4-mini-2026-03-17,T-93d9abe92b75,inventory,True,U,U,1,"Generic topic statement only; no denied predicate, AI output/use, or qualifying mechanism is stated.",NO,NO,NO,NO,NO,NO
gpt-5.4-mini-2026-03-17,T-739581454da2,inventory,True,U,S,0,"W_nar is borderline: the rationale states a narrow extraction/completeness function, but it does not explicitly connect that limitation to why the output cannot serve as a principal basis.",YES,YES,NO,NO,UNCLEAR,NO
gpt-5.4-mini-2026-03-17,T-82676cbec526,inventory,True,U,U,1,P is borderline because the rationale names no high-impact predicate beyond lack of direct public/regulated-entity impact. O is unclear because it never specifies an AI output or workflow use; the text is only research-context language.,YES,UNCLEAR,NO,NO,NO,NO
gpt-5.4-mini-2026-03-17,T-0104c3e1bf9d,inventory,True,S,S,1,"Minor overlap between human review language and W, but the rationale also gives manual existing-records lookup and explicit non-dependence, so support is sufficient.",YES,YES,YES,YES,YES,NO
gpt-5.4-mini-2026-03-17,T-ec1eec917acc,inventory,True,U,U,1,"Bounded exam-cheating detection could be read as narrow, but the rationale gives no explicit non-AI basis, alternative path, or limiting relation that makes it a principal-basis rebuttal.",YES,YES,NO,NO,NO,NO
gpt-5.4-mini-2026-03-17,T-6e05e26a6734,inventory,True,U,S,0,P is present only as a no-match non-basis statement; W-opt is unclear because 'another means' is unnamed and no non-AI path is clearly specified.,YES,YES,NO,UNCLEAR,NO,NO
gpt-5.4-mini-2026-03-17,T-d0d326f5382a,inventory,True,U,U,1,"Safety/collision-avoidance language clearly supplies P and O, but no independent non-AI basis, alternative path, or bounded mechanism is stated.",YES,YES,NO,NO,NO,NO
gpt-5.4-mini-2026-03-17,T-46c1e0453ae6,inventory,True,S,S,1,,YES,YES,YES,NO,YES,YES
gpt-5.4-mini-2026-03-17,T-07c5553a903f,inventory,True,S,D,0,Minor overlap between W_ind and W_nar; no status ambiguity.,YES,YES,YES,NO,YES,NO
gpt-5.4-mini-2026-03-17,T-4f967bc47dbb,inventory,True,S,U,0,W_nar is borderline; treated as sufficient because the output is confined to staffing-priority support and explicitly excluded from security/employment decisions.,YES,YES,NO,NO,YES,NO
gpt-5.4-mini-2026-03-17,T-9d5c322cd3a3,inventory,True,S,S,1,W_ind is clear; H also appears as support. W_nar is a secondary reading from the same limiting language.,YES,YES,YES,NO,YES,YES
gpt-5.4-mini-2026-03-17,T-8c725571ab27,inventory,True,S,U,0,"Human review language is present, but the rationale also states a bounded suggestion/manual-validation mechanism; no independent non-AI basis or separate optional path is stated.",YES,YES,NO,NO,YES,YES
gpt-5.4-mini-2026-03-17,T-9224d600b843,inventory,True,U,S,0,"The rationale clearly states the outputs are not a principal basis and are advisory, but it does not identify an independent non-AI basis, a true non-AI alternative path, or a bounded mechanism that prevents principal reliance on the AI output.",YES,YES,NO,NO,NO,NO
gpt-5.4-mini-2026-03-17,T-3e19adf323a0,inventory,True,S,S,1,W-ind is supported by explicit supervisory review plus certified interpreter validation; human review is not coded H because it is part of the W mechanism.,YES,YES,YES,NO,NO,NO
gpt-5.4-mini-2026-03-17,T-7cb7bb801fa9,inventory,True,U,U,1,"The rationale clearly states an access-log function, but it does not identify any denied high-impact predicate or any qualifying mechanism showing the AI output cannot serve as a principal basis.",NO,YES,NO,NO,NO,NO
gpt-5.4-mini-2026-03-17,T-02296c740e62,inventory,True,S,S,1,P is indirectly stated through the high-impact definition; W_ind is supported by legal data/processes plus the explicit 'principal basis' limitation.,YES,YES,YES,NO,NO,NO
gpt-5.4-mini-2026-03-17,T-1605b4c2cfa3,inventory,True,S,S,1,W_ind is not explicitly supported; 'other information and insights' is generic. H is present but does not override S because W_opt is independently stated.,YES,YES,NO,YES,NO,YES
gpt-5.4-mini-2026-03-17,T-c60868e1c03a,inventory,True,S,S,1,W_ind is borderline but supported by the stated non-AI checks and the explicit 'not ... principal basis' limitation.,YES,YES,YES,NO,NO,YES
gpt-5.4-mini-2026-03-17,SYN-C01,synthetic,True,S,S,1,"W_nar is borderline, but the clearest qualifying mechanism is independent wage-record verification.",YES,YES,YES,NO,NO,NO
gpt-5.4-mini-2026-03-17,T-7e7a9b400b1b,inventory,True,S,U,0,W_ind is not clearly supported; status S rests on the bounded-output / non-principal-basis language.,YES,YES,NO,NO,YES,YES
gpt-5.4-mini-2026-03-17,SYN-C03,synthetic,True,S,S,1,,YES,YES,YES,NO,NO,NO
gpt-5.4-mini-2026-03-17,SYN-C06,synthetic,True,S,S,1,W-ind is not clearly present; the rationale supports W-opt via a manual non-AI path.,YES,YES,NO,YES,NO,NO
gpt-5.4-mini-2026-03-17,SYN-C04,synthetic,True,S,S,1,H is borderline but the rationale clearly states an independent non-AI basis; W-opt/W-nar are absent.,YES,YES,YES,NO,NO,YES
gpt-5.4-mini-2026-03-17,SYN-C02,synthetic,True,S,S,1,H overlaps with W_ind because the human staff perform the independent re-derivation; W_nar is not clearly separate from the queue-management purpose.,YES,YES,YES,NO,NO,YES
gpt-5.4-mini-2026-03-17,SYN-C09,synthetic,True,S,S,1,,YES,YES,NO,NO,YES,NO
gpt-5.4-mini-2026-03-17,SYN-C07,synthetic,True,S,S,1,W-ind and W-opt are both plausible from the same sentence; coded YES for both because a non-AI manual workflow is available and is used instead of the summary when not adopted.,YES,YES,YES,YES,NO,NO
gpt-5.4-mini-2026-03-17,SYN-C08,synthetic,True,S,S,1,,YES,YES,NO,NO,YES,NO
gpt-5.4-mini-2026-03-17,SYN-D01,synthetic,True,D,D,1,"No explicit AI output, policy predicate, or non-AI limiting mechanism is stated; only human final decision-making is disclosed.",NO,NO,NO,NO,NO,YES
gpt-5.4-mini-2026-03-17,SYN-C05,synthetic,True,S,S,1,"W_ind and W_opt overlap in the same sentence; H could be read as present via reviewer discretion, but the rationale is better treated as resting on the manual original-documents path.",YES,YES,YES,YES,NO,NO
gpt-5.4-mini-2026-03-17,T-22212d16035b,inventory,True,U,U,1,"The rationale is mainly temporal/developmental ('not yet live in production') and names outputs, but not the workflow use. The review language could be read as human oversight, yet it is not clearly load-bearing enough for D.",NO,UNCLEAR,NO,NO,NO,UNCLEAR
gpt-5.4-mini-2026-03-17,SYN-C10,synthetic,True,S,S,1,"Low; the rationale clearly states a bounded sandbox/output-routing limit, supporting W_nar and S.",YES,YES,NO,NO,YES,NO
gpt-5.4-mini-2026-03-17,SYN-D02,synthetic,True,D,D,1,None.,NO,YES,NO,NO,NO,YES
gpt-5.4-mini-2026-03-17,SYN-D04,synthetic,True,D,D,1,,NO,YES,NO,NO,NO,YES
gpt-5.4-mini-2026-03-17,SYN-D03,synthetic,True,D,D,1,No policy predicate or qualifying W mechanism is stated; the rationale only says a human decision-maker considers the system's output as one of several inputs.,NO,UNCLEAR,NO,NO,NO,YES
gpt-5.4-mini-2026-03-17,SYN-D06,synthetic,True,D,D,1,No policy predicate or AI output/use is stated; the rationale supports only human review/oversight.,NO,UNCLEAR,NO,NO,NO,YES
gpt-5.4-mini-2026-03-17,SYN-D08,synthetic,True,D,D,1,No policy threshold or AI output type is stated; the only load-bearing rationale is human sign-off.,NO,UNCLEAR,NO,NO,NO,YES
gpt-5.4-mini-2026-03-17,SYN-D05,synthetic,True,D,D,1,"O is generic and does not specify the AI product or workflow role; no qualifying W mechanism is stated, so the rationale rests on human final approval.",NO,UNCLEAR,NO,NO,NO,YES
gpt-5.4-mini-2026-03-17,SYN-D09,synthetic,True,D,D,1,,NO,YES,NO,NO,NO,YES
gpt-5.4-mini-2026-03-17,SYN-D07,synthetic,True,D,D,1,,NO,YES,NO,NO,NO,YES
gpt-5.4-mini-2026-03-17,SYN-D10,synthetic,True,D,D,1,"Human review is explicit and load-bearing. The rationale does not clearly state any AI output/use, and the manual review is not paired with an independent non-AI evidence basis or a non-AI alternative path.",UNCLEAR,UNCLEAR,NO,NO,NO,YES
gpt-5.4-mini-2026-03-17,SYN-E02,synthetic,True,U,U,1,No qualifying W mechanism is stated; the queue language shows workflow placement but not an independent or non-AI basis.,YES,YES,NO,NO,NO,NO
gpt-5.4-mini-2026-03-17,SYN-E05,synthetic,True,U,U,1,"The rationale clearly denies principal-basis use and identifies the AI output, but it gives no independent non-AI basis or bounded mechanism showing why the estimate cannot serve as the principal basis.",YES,YES,NO,NO,NO,NO
gpt-5.4-mini-2026-03-17,SYN-E03,synthetic,True,S,U,0,"W_nar is the only borderline component; the rationale frames the score as limited to interview-scheduling queue position, which I treated as a bounded operational use.",YES,YES,NO,NO,YES,NO
gpt-5.4-mini-2026-03-17,SYN-E01,synthetic,True,U,U,1,No qualifying W mechanism is stated; 'awaiting further agency processing' is not a load-bearing human-review warrant.,YES,YES,NO,NO,NO,NO
gpt-5.4-mini-2026-03-17,SYN-F01,synthetic,True,U,U,1,"The rationale gives an independent reverification mechanism, but it does not disclose any high-impact predicate being rebutted or identify the specific AI supply/output type beyond 'AI output'.",NO,UNCLEAR,YES,NO,NO,NO
gpt-5.4-mini-2026-03-17,SYN-G01,synthetic,True,U,U,1,No policy predicate or qualifying mechanism is stated; human receipt alone does not support D.,NO,YES,NO,NO,NO,NO
gpt-5.4-mini-2026-03-17,SYN-G05,synthetic,True,U,U,1,"P is minimally supported by the explicit predicate phrase, but no AI output or qualifying mechanism is stated; the rationale only says the decision is not automated.",YES,NO,NO,NO,NO,NO
gpt-5.4-mini-2026-03-17,SYN-E04,synthetic,True,S,U,0,W_nar is the only borderline component; the rationale limits the score to examiner assignment rather than opening the examination.,YES,YES,NO,NO,YES,NO
gpt-5.4-mini-2026-03-17,SYN-G04,synthetic,True,U,U,1,"The rationale states a generic non-AI control on the outcome, but it does not identify the high-impact predicate, the AI output’s specific function, or any qualifying non-AI mechanism.",NO,UNCLEAR,NO,NO,NO,NO
gpt-5.4-mini-2026-03-17,SYN-G03,synthetic,True,U,U,1,"The rationale shows an AI ranking used in workflow, but no non-AI basis, alternative path, or narrowing mechanism is stated. The site-visit sequencing may be consequential, but the rebuttal remains unresolved.",YES,YES,NO,NO,NO,NO
gpt-5.4-mini-2026-03-17,SYN-G06,synthetic,True,U,U,1,No qualifying W mechanism is stated; the rationale is only a negation about AI output. O is minimally supported by generic wording.,YES,YES,NO,NO,NO,NO
gpt-5.4-mini-2026-03-17,SYN-H01,synthetic,True,U,U,1,"Bare conclusion only; no predicate, AI output/use, or supporting mechanism is stated.",NO,NO,NO,NO,NO,NO
gpt-5.4-mini-2026-03-17,SYN-G08,synthetic,True,U,U,1,"Mentions an independent database cross-check before issuance, but no AI output, no high-impact threshold, and no human-review warrant are stated.",NO,NO,NO,NO,NO,NO
gpt-5.4-mini-2026-03-17,SYN-H02,synthetic,True,U,U,1,"No policy threshold is named; the rationale only says the system is assistive and not outcome-driving, which suggests a role but not an identified AI output, mechanism, or human-review basis.",NO,UNCLEAR,NO,NO,NO,NO
gpt-5.4-mini-2026-03-17,SYN-H03,synthetic,True,U,U,1,"The rationale only says the output is an input among several considered by the program; it does not identify the output type, any policy predicate, or any non-AI limiting mechanism.",NO,UNCLEAR,NO,NO,NO,NO
