model,template_id,original_vector,original_status,whitespace_vector,whitespace_status,human_review_vector,human_review_status,multiple_sources_vector,multiple_sources_status,independent_basis_vector,independent_basis_status
gpt-5.4-mini-2026-03-17,T-79b6c7760b49,YES/UNCLEAR/NO/NO/NO/NO,U,YES/NO/NO/NO/NO/NO,U,YES/UNCLEAR/NO/NO/NO/YES,D,YES/NO/NO/NO/NO/NO,U,YES/UNCLEAR/YES/NO/NO/NO,U
gpt-5.4-mini-2026-03-17,T-79fa6bfbdf44,YES/YES/NO/NO/NO/YES,D,YES/YES/NO/NO/NO/YES,D,YES/YES/NO/NO/NO/YES,D,YES/YES/NO/NO/NO/YES,D,YES/YES/YES/NO/NO/NO,S
gpt-5.4-mini-2026-03-17,T-7c48cabab497,YES/YES/NO/NO/UNCLEAR/YES,D,YES/YES/NO/NO/NO/YES,D,YES/YES/NO/NO/NO/YES,D,YES/YES/NO/NO/NO/YES,D,YES/YES/YES/NO/NO/NO,S
gpt-5.4-mini-2026-03-17,T-7cb7bb801fa9,NO/YES/NO/NO/NO/NO,U,NO/YES/NO/NO/NO/NO,U,NO/YES/NO/NO/NO/YES,D,YES/YES/NO/NO/NO/NO,U,YES/YES/YES/NO/NO/NO,S
gpt-5.4-mini-2026-03-17,T-7e7a9b400b1b,YES/YES/NO/NO/YES/YES,S,YES/YES/NO/NO/NO/YES,D,YES/YES/NO/NO/YES/YES,S,YES/YES/NO/NO/NO/YES,D,YES/YES/YES/NO/YES/NO,S
gpt-5.4-mini-2026-03-17,T-82676cbec526,YES/UNCLEAR/NO/NO/NO/NO,U,YES/UNCLEAR/NO/NO/NO/NO,U,YES/UNCLEAR/NO/NO/NO/YES,D,YES/UNCLEAR/NO/NO/UNCLEAR/NO,U,YES/YES/YES/NO/YES/NO,S
gpt-5.4-mini-2026-03-17,T-88c2703d4c0f,YES/YES/NO/NO/YES/YES,S,YES/YES/UNCLEAR/NO/YES/NO,S,YES/YES/UNCLEAR/NO/YES/YES,S,YES/YES/NO/NO/YES/YES,S,YES/YES/YES/NO/YES/NO,S
gpt-5.4-mini-2026-03-17,T-8c725571ab27,YES/YES/NO/NO/NO/YES,D,YES/YES/NO/NO/NO/YES,D,YES/YES/NO/NO/NO/YES,D,YES/YES/NO/NO/YES/YES,S,YES/YES/YES/NO/NO/NO,S
gpt-5.4-mini-2026-03-17,T-8c856430c4bd,YES/YES/NO/NO/NO/NO,U,YES/YES/NO/NO/NO/NO,U,YES/YES/NO/NO/NO/YES,D,YES/YES/NO/NO/NO/NO,U,YES/YES/YES/NO/NO/NO,S
gpt-5.4-mini-2026-03-17,T-8e7ddb102390,YES/YES/NO/NO/NO/YES,D,YES/YES/NO/NO/NO/YES,D,UNCLEAR/YES/NO/NO/NO/YES,D,YES/YES/NO/NO/NO/YES,D,YES/YES/YES/NO/NO/YES,S
gpt-5.4-mini-2026-03-17,T-9224d600b843,YES/YES/NO/UNCLEAR/YES/NO,S,YES/YES/NO/UNCLEAR/NO/NO,U,YES/YES/NO/NO/NO/YES,D,YES/YES/NO/UNCLEAR/YES/NO,S,YES/YES/YES/NO/NO/NO,S
gpt-5.4-mini-2026-03-17,T-93d9abe92b75,NO/NO/NO/NO/NO/NO,U,UNCLEAR/NO/NO/NO/NO/NO,U,NO/UNCLEAR/NO/NO/NO/YES,D,NO/NO/NO/NO/NO/NO,U,UNCLEAR/NO/YES/NO/NO/NO,U
gpt-5.4-mini-2026-03-17,T-9d5c322cd3a3,YES/YES/YES/NO/NO/YES,S,YES/YES/YES/NO/YES/NO,S,YES/YES/YES/NO/NO/YES,S,YES/YES/YES/NO/NO/YES,S,YES/YES/YES/NO/YES/YES,S
gpt-5.4-mini-2026-03-17,T-a3d7df36b0ea,YES/YES/NO/NO/NO/YES,D,YES/YES/NO/NO/YES/NO,S,YES/YES/NO/NO/NO/YES,D,YES/YES/NO/NO/NO/YES,D,YES/YES/YES/NO/NO/NO,S
gpt-5.4-mini-2026-03-17,T-b99b7f9db3af,YES/YES/NO/NO/NO/NO,U,YES/YES/NO/NO/UNCLEAR/NO,U,YES/YES/NO/NO/NO/YES,D,YES/YES/NO/NO/NO/NO,U,YES/YES/YES/NO/NO/NO,S
gpt-5.4-mini-2026-03-17,T-ba14dc894672,YES/YES/NO/NO/NO/YES,D,YES/YES/NO/NO/NO/YES,D,YES/YES/NO/NO/NO/YES,D,YES/YES/NO/NO/NO/YES,D,YES/YES/YES/NO/NO/NO,S
gpt-5.4-mini-2026-03-17,T-bf30867b6bf4,NO/YES/NO/NO/NO/YES,D,NO/YES/NO/NO/NO/YES,D,NO/YES/NO/NO/NO/YES,D,NO/YES/NO/NO/NO/YES,D,YES/YES/YES/NO/NO/NO,S
gpt-5.4-mini-2026-03-17,T-c503d2fbb79b,YES/UNCLEAR/NO/NO/NO/NO,U,YES/UNCLEAR/NO/NO/NO/NO,U,YES/YES/NO/NO/NO/YES,D,YES/UNCLEAR/NO/NO/NO/NO,U,YES/UNCLEAR/YES/NO/NO/NO,U
gpt-5.4-mini-2026-03-17,T-c60868e1c03a,YES/YES/YES/NO/YES/NO,S,YES/YES/YES/NO/YES/YES,S,YES/YES/YES/NO/NO/YES,S,YES/YES/YES/NO/NO/YES,S,YES/YES/YES/NO/YES/YES,S
gpt-5.4-mini-2026-03-17,T-c8716646c61f,YES/YES/NO/NO/NO/YES,D,YES/YES/NO/NO/NO/YES,D,YES/YES/NO/NO/NO/YES,D,YES/YES/NO/NO/YES/YES,S,YES/YES/YES/NO/NO/NO,S
gpt-5.4-mini-2026-03-17,T-c961f5774051,YES/YES/YES/NO/NO/YES,S,YES/YES/YES/NO/NO/YES,S,YES/YES/YES/NO/NO/YES,S,YES/YES/YES/NO/NO/NO,S,YES/YES/YES/NO/NO/NO,S
gpt-5.4-mini-2026-03-17,T-cd6ef69cc9cc,YES/YES/NO/NO/NO/YES,D,YES/YES/NO/NO/NO/YES,D,NO/YES/NO/NO/NO/YES,D,YES/YES/NO/NO/NO/YES,D,YES/YES/YES/NO/NO/YES,S
gpt-5.4-mini-2026-03-17,T-cfd1afe05c68,YES/YES/NO/NO/NO/YES,D,YES/YES/NO/NO/NO/YES,D,YES/YES/NO/NO/NO/YES,D,YES/YES/NO/NO/NO/YES,D,YES/UNCLEAR/YES/NO/NO/YES,U
gpt-5.4-mini-2026-03-17,T-d0d326f5382a,YES/YES/NO/NO/NO/NO,U,YES/YES/NO/NO/NO/NO,U,YES/YES/NO/NO/NO/YES,D,YES/YES/NO/NO/NO/NO,U,YES/YES/YES/NO/NO/NO,S
gpt-5.4-mini-2026-03-17,T-d39c21ea4512,YES/YES/NO/NO/NO/YES,D,YES/YES/NO/NO/NO/YES,D,YES/YES/NO/NO/NO/YES,D,YES/YES/NO/NO/NO/YES,D,YES/YES/YES/NO/NO/NO,S
gpt-5.4-mini-2026-03-17,T-e12f01074a7f,YES/YES/YES/NO/NO/NO,S,YES/YES/YES/NO/YES/NO,S,YES/YES/YES/NO/YES/YES,S,YES/YES/YES/NO/YES/NO,S,YES/YES/YES/NO/YES/NO,S
gpt-5.4-mini-2026-03-17,T-e2b1ee3e9028,NO/YES/NO/NO/NO/YES,D,YES/YES/NO/NO/NO/YES,D,YES/YES/UNCLEAR/NO/NO/YES,D,YES/YES/NO/NO/NO/YES,D,YES/YES/YES/NO/NO/NO,S
gpt-5.4-mini-2026-03-17,T-e32d814335cd,YES/YES/UNCLEAR/NO/UNCLEAR/YES,D,YES/YES/NO/NO/NO/YES,D,YES/YES/NO/NO/NO/YES,D,YES/YES/UNCLEAR/NO/NO/YES,D,YES/YES/YES/NO/NO/YES,S
gpt-5.4-mini-2026-03-17,T-e3b0c44298fc,UNCLEAR/UNCLEAR/UNCLEAR/UNCLEAR/UNCLEAR/UNCLEAR,U,UNCLEAR/UNCLEAR/UNCLEAR/UNCLEAR/UNCLEAR/UNCLEAR,U,NO/UNCLEAR/NO/NO/NO/YES,D,NO/NO/NO/NO/NO/NO,U,YES/NO/YES/NO/NO/NO,U
gpt-5.4-mini-2026-03-17,T-ec1eec917acc,YES/YES/NO/NO/NO/NO,U,YES/YES/NO/NO/NO/NO,U,YES/YES/NO/NO/NO/YES,D,YES/YES/NO/NO/UNCLEAR/NO,U,YES/YES/YES/NO/NO/NO,S
gpt-5.4-mini-2026-03-17,T-f49fc88319d0,YES/YES/NO/NO/NO/YES,D,NO/YES/NO/NO/NO/YES,D,NO/YES/NO/NO/NO/YES,D,YES/YES/NO/NO/NO/YES,D,YES/YES/YES/NO/NO/YES,S
gpt-5.4-mini-2026-03-17,T-f59a322b4b96,YES/YES/NO/NO/NO/YES,D,YES/YES/UNCLEAR/NO/NO/YES,D,YES/YES/NO/NO/NO/YES,D,YES/YES/NO/NO/NO/YES,D,YES/YES/YES/NO/NO/YES,S
gpt-5.4-mini-2026-03-17,T-f6d1903d8370,NO/YES/NO/NO/NO/NO,U,NO/YES/NO/NO/UNCLEAR/NO,U,NO/YES/NO/NO/NO/YES,D,UNCLEAR/YES/NO/NO/UNCLEAR/YES,D,NO/YES/YES/NO/YES/NO,U
